R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;SCL Tigers;48;224;4.67;29;0.60;87.05;337:57;07:02;6;0.12
2;Hockey Thurgau;48;205;4.27;31;0.65;84.88;316:29;06:35;4;0.08
3;EHC Visp;48;217;4.52;35;0.73;83.87;360:42;07:30;9;0.19
4;EHC Olten;48;214;4.46;37;0.77;82.71;332:32;06:55;9;0.19
5;SC Langenthal;48;239;4.98;42;0.88;82.43;375:16;07:49;7;0.15
;Durchschnitt;48;207;4.31;37;0.77;82.13;326:02;06:47;6;0.12
6;HC Red Ice;48;213;4.44;42;0.88;80.28;340:35;07:05;6;0.12
7;HC Ajoie;48;215;4.48;43;0.90;80;325:27;06:46;6;0.12
8;HC La Chaux-de-Fonds;48;190;3.96;40;0.83;78.95;312:59;06:31;10;0.21
9;GCK Lions;48;150;3.12;38;0.79;74.67;232:21;04:50;1;0.02
