R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;EHC Olten;45;211;4.69;28;0.62;86.73;347:38;07:43;11;0.24
2;HC La Chaux-de-Fonds;45;209;4.64;34;0.76;83.73;319:00;07:05;8;0.18
3;EHC Basel Sharks;45;211;4.69;38;0.84;81.99;330:49;07:21;6;0.13
4;EHC Visp;45;213;4.73;40;0.89;81.22;380:10;08:26;11;0.24
;Durchschnitt;45;218;4.84;41;0.91;81.19;344:39;07:39;8;0.18
5;HC Ajoie;45;252;5.60;48;1.07;80.95;380:31;08:27;4;0.09
6;SC Langenthal;45;212;4.71;41;0.91;80.66;338:55;07:31;7;0.16
7;GCK Lions;45;211;4.69;42;0.93;80.09;324:22;07:12;5;0.11
8;Lausanne HC;45;194;4.31;39;0.87;79.90;303:26;06:44;9;0.20
9;HC Sierre;45;246;5.47;53;1.18;78.46;378:40;08:24;13;0.29
10;Hockey Thurgau;45;223;4.96;55;1.22;75.34;343:06;07:37;6;0.13
