R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;HC Red Ice;45;174;3.87;18;0.40;89.66;294:27;06:32;3;0.07
2;EHC Olten;45;212;4.71;32;0.71;84.91;331:27;07:21;10;0.22
3;SCL Tigers;45;187;4.16;33;0.73;82.35;291:41;06:28;4;0.09
4;SC Langenthal;45;169;3.76;30;0.67;82.25;278:35;06:11;7;0.16
5;HC La Chaux-de-Fonds;45;188;4.18;34;0.76;81.91;309:03;06:52;4;0.09
;Durchschnitt;45;187;4.16;34;0.76;81.82;297:07;06:36;6;0.13
6;GCK Lions;45;134;2.98;26;0.58;80.60;215:53;04:47;7;0.16
7;EHC Basel Sharks;45;209;4.64;41;0.91;80.38;324:50;07:13;8;0.18
8;HC Ajoie;45;211;4.69;43;0.96;79.62;318:46;07:05;5;0.11
9;EHC Visp;45;202;4.49;42;0.93;79.21;310:30;06:54;7;0.16
10;Hockey Thurgau;45;193;4.29;49;1.09;74.61;296:03;06:34;6;0.13
