Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Di;25.03.2014;19:45;SCL Tigers;EHC Visp; 4:1; 0:0|2:0|2:1;;;False;Ilfis Stadion, Langnau;5265
Fr;28.03.2014;19:45;EHC Visp;SCL Tigers; 4:1; 2:0|0:1|2:0;;;False;Litternahalle, Visp;4300
So;30.03.2014;18:15;SCL Tigers;EHC Visp; 4:3; 1:1|0:0|2:2|1:0;OT;;False;Ilfis Stadion, Langnau;6050
Di;01.04.2014;19:45;EHC Visp;SCL Tigers; 3:2; 0:1|2:0|1:1;;;False;Litternahalle, Visp;4300
Fr;04.04.2014;19:45;SCL Tigers;EHC Visp; 5:2; 2:2|1:0|2:0;;;False;Ilfis Stadion, Langnau;6005
So;06.04.2014;18:15;EHC Visp;SCL Tigers; 4:3; 1:1|2:0|1:2;;;False;Litternahalle, Visp;4300
Di;08.04.2014;19:45;SCL Tigers;EHC Visp; 1:5; 0:2|1:1|0:2;;;False;Ilfis Stadion, Langnau;6050
