Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Fr;21.02.2014;19:45;EHC Olten;HC La Chaux-de-Fonds; 7:1; 3:1|3:0|1:0;;;False;KEB Kleinholz, Olten;4087
Fr;21.02.2014;19:45;SCL Tigers;Hockey Thurgau; 4:2; 0:2|1:0|3:0;;;False;Ilfis Stadion, Langnau;4780
Fr;21.02.2014;19:45;SC Langenthal;EHC Basel Sharks; 5:2; 1:1|2:1|2:0;;;False;KEB Schoren, Langenthal;2236
Fr;21.02.2014;20:00;HC Red Ice;EHC Visp; 2:3; 2:1|0:1|0:1;;;False;Patinoire du Forum, Martigny;2787
So;23.02.2014;16:00;EHC Basel Sharks;SC Langenthal; 2:5; 2:2|0:2|0:1;;;False;St. Jakob Arena, Basel;1433
So;23.02.2014;17:30;HC La Chaux-de-Fonds;EHC Olten; 4:3; 1:1|3:1|0:1;;;False;P. des Mélèzes, La Chaux-de-Fonds;3832
So;23.02.2014;18:15;Hockey Thurgau;SCL Tigers; 3:4; 1:3|1:1|1:0;;;False;KEB Güttingersreuti, Weinfelden;2023
So;23.02.2014;18:15;EHC Visp;HC Red Ice; 5:1; 2:1|1:0|2:0;;;False;Litternahalle, Visp;4021
Di;25.02.2014;19:45;SCL Tigers;Hockey Thurgau; 6:1; 1:0|3:0|2:1;;;False;Ilfis Stadion, Langnau;4621
Di;25.02.2014;19:45;SC Langenthal;EHC Basel Sharks; 2:4; 0:1|1:2|1:1;;;False;KEB Schoren, Langenthal;2110
Di;25.02.2014;20:00;EHC Olten;HC La Chaux-de-Fonds; 2:3; 1:1|1:1|0:0|0:1;OT;;False;KEB Kleinholz, Olten;4122
Di;25.02.2014;20:00;HC Red Ice;EHC Visp; 3:4; 2:1|0:2|1:1;;;False;Patinoire du Forum, Martigny;2873
Fr;28.02.2014;19:45;EHC Visp;HC Red Ice; 3:0; 1:0|1:0|1:0;;;False;Litternahalle, Visp;4300
Fr;28.02.2014;19:45;Hockey Thurgau;SCL Tigers; 1:2; 0:0|0:1|1:0|0:1;SO;;False;KEB Güttingersreuti, Weinfelden;1409
Fr;28.02.2014;20:00;HC La Chaux-de-Fonds;EHC Olten; 3:2; 1:1|0:0|2:1;;;False;P. des Mélèzes, La Chaux-de-Fonds;3617
Fr;28.02.2014;20:00;EHC Basel Sharks;SC Langenthal; 3:4; 0:2|2:0|1:2;;;False;St. Jakob Arena, Basel;1535
So;02.03.2014;18:15;EHC Olten;HC La Chaux-de-Fonds; 4:3; 1:1|2:1|1:1;;;False;KEB Kleinholz, Olten;4707
So;02.03.2014;18:15;SC Langenthal;EHC Basel Sharks; 11:2; 2:0|6:1|3:1;;;False;KEB Schoren, Langenthal;2383
Di;04.03.2014;19:45;HC La Chaux-de-Fonds;EHC Olten; 7:3; 1:0|4:0|2:3;;;False;P. des Mélèzes, La Chaux-de-Fonds;5261
