Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Fr;15.02.2013;20:00;HC Ajoie;HC Red Ice; 2:6; 1:1|0:2|1:3;;;False;P. d'Ajoie SA, Porrentruy;2724
Fr;15.02.2013;20:00;SC Langenthal;GCK Lions; 8:0; 4:0|2:0|2:0;;;False;KEB Schoren, Langenthal;1943
Fr;15.02.2013;20:00;EHC Olten;HC La Chaux-de-Fonds; 5:0; 1:0|3:0|1:0;;;False;KEB Kleinholz, Olten;4205
Fr;15.02.2013;20:00;Lausanne HC;EHC Visp; 5:2; 3:0|1:2|1:0;;;False;P. de Malley, Lausanne;5029
So;17.02.2013;17:00;HC Red Ice;HC Ajoie; 0:2; 0:0|0:1|0:1;;;False;P. Municipale, Martigny;2919
So;17.02.2013;18:15;GCK Lions;SC Langenthal; 3:5; 0:1|2:3|1:1;;;False;KEB, Küsnacht;430
So;17.02.2013;18:15;HC La Chaux-de-Fonds;EHC Olten; 4:2; 0:1|2:0|2:1;;;False;P. des Mélèzes, La Chaux-de-Fonds;3311
So;17.02.2013;18:15;EHC Visp;Lausanne HC; 4:0; 3:0|1:0|0:0;;;False;Litternahalle, Visp;4000
Di;19.02.2013;20:00;HC Ajoie;HC Red Ice; 3:2; 2:1|0:0|0:1|1:0;OT;;False;P. d'Ajoie SA, Porrentruy;2387
Di;19.02.2013;20:00;SC Langenthal;GCK Lions; 4:2; 2:0|0:2|2:0;;;False;KEB Schoren, Langenthal;1869
Di;19.02.2013;20:00;EHC Olten;HC La Chaux-de-Fonds; 5:2; 1:2|3:0|1:0;;;False;KEB Kleinholz, Olten;4154
Di;19.02.2013;20:00;Lausanne HC;EHC Visp; 5:1; 2:0|0:0|3:1;;;False;P. de Malley, Lausanne;5611
Fr;22.02.2013;20:00;HC Red Ice;HC Ajoie; 2:4; 1:2|0:1|1:1;;;False;P. Municipale, Martigny;2113
Fr;22.02.2013;20:00;GCK Lions;SC Langenthal; 3:4; 1:3|0:1|2:0;;;False;KEB, Küsnacht;480
Fr;22.02.2013;20:00;HC La Chaux-de-Fonds;EHC Olten; 5:7; 2:1|1:2|2:4;;;False;P. des Mélèzes, La Chaux-de-Fonds;3566
Fr;22.02.2013;20:00;EHC Visp;Lausanne HC; 4:6; 0:3|2:3|2:0;;;False;Litternahalle, Visp;4021
So;24.02.2013;17:30;EHC Olten;HC La Chaux-de-Fonds; 3:4; 0:0|0:1|3:2|0:1;OT;;False;KEB Kleinholz, Olten;5161
So;24.02.2013;18:15;HC Ajoie;HC Red Ice; 3:4; 1:2|1:1|1:1;;;False;P. d'Ajoie SA, Porrentruy;3033
So;24.02.2013;18:15;Lausanne HC;EHC Visp; 4:3; 1:2|0:0|2:1|1:0;OT;;False;P. de Malley, Lausanne;6119
Di;26.02.2013;20:00;HC Red Ice;HC Ajoie; 2:3; 0:2|1:0|1:0|0:1;OT;;False;P. Municipale, Martigny;2009
Di;26.02.2013;20:00;HC La Chaux-de-Fonds;EHC Olten; 3:1; 1:0|1:1|1:0;;;False;P. des Mélèzes, La Chaux-de-Fonds;3753
Fr;01.03.2013;20:00;EHC Olten;HC La Chaux-de-Fonds; 3:2; 1:1|0:1|1:0|1:0;OT;;False;KEB Kleinholz, Olten;5961
