Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Fr;04.03.2016;19:45;SC Rapperswil-Jona Lakers;HC Red Ice; 4:3; 1:2|2:0|0:1|1:0;OT;;False;Diners Club Arena, Rapperswil;3046
Fr;04.03.2016;19:45;EHC Olten;HC Ajoie; 4:3; 0:1|2:1|1:1|1:0;SO;;False;KEB Kleinholz, Olten;5356
So;06.03.2016;18:15;HC Ajoie;EHC Olten; 2:1; 2:1|0:0|0:0;;;False;Patinoire Voyeboeuf, Porrentruy;2645
So;06.03.2016;18:15;HC Red Ice;SC Rapperswil-Jona Lakers; 0:1; 0:1|0:0|0:0;;;False;Patinoire du Forum, Martigny;3211
Di;08.03.2016;19:45;EHC Olten;HC Ajoie; 2:5; 1:1|0:2|1:2;;;False;KEB Kleinholz, Olten;5027
Di;08.03.2016;19:45;SC Rapperswil-Jona Lakers;HC Red Ice; 4:3; 2:1|2:1|0:1;;;False;Diners Club Arena, Rapperswil;2824
Fr;11.03.2016;19:45;HC Red Ice;SC Rapperswil-Jona Lakers; 1:2; 0:1|1:0|0:0|0:1;OT;;False;Patinoire du Forum, Martigny;2689
Fr;11.03.2016;20:00;HC Ajoie;EHC Olten; 6:1; 3:1|3:0|0:0;;;False;Patinoire Voyeboeuf, Porrentruy;3410
So;13.03.2016;18:15;EHC Olten;HC Ajoie; 4:2; 1:0|1:1|2:1;;;False;KEB Kleinholz, Olten;5861
Di;15.03.2016;19:45;HC Ajoie;EHC Olten; 3:0; 1:0|0:0|2:0;;;False;Patinoire Voyeboeuf, Porrentruy;3110
