Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
So;15.03.2009;17:00;Lausanne HC;HC La Chaux-de-Fonds; 3:2; 2:0|0:1|1:1;;;False;Lausanne Malley;9265
Di;17.03.2009;20:00;HC La Chaux-de-Fonds;Lausanne HC; 5:1; 1:0|1:0|3:1;;;False;Chaux-de-Fds;5210
Fr;20.03.2009;20:00;Lausanne HC;HC La Chaux-de-Fonds; 3:4; 1:1|1:2|1:1;;;False;Lausanne Malley;9265
So;22.03.2009;17:00;HC La Chaux-de-Fonds;Lausanne HC; 3:5; 0:1|1:3|2:1;;;False;Chaux-de-Fds;6880
Di;24.03.2009;20:00;Lausanne HC;HC La Chaux-de-Fonds; 5:3; 2:1|0:2|3:0;;;False;Lausanne Malley;8472
Fr;27.03.2009;20:00;HC La Chaux-de-Fonds;Lausanne HC; 2:4; 0:3|2:0|0:1;;;False;Chaux-de-Fds;6287
