Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
So;21.02.2010;17:00;Lausanne HC;HC Ajoie; 5:2; 0:1|3:1|2:0;;;False;Lausanne Malley;4940
So;21.02.2010;17:30;EHC Olten;SC Langenthal; 3:2; 1:1|0:0|1:1|1:0;OT;;False;Kleinholz Olten;4097
So;21.02.2010;17:45;EHC Visp;EHC Basel Sharks; 9:1; 5:0|2:1|2:0;;;False;Litternahalle Visp;3151
So;21.02.2010;18:30;HC Sierre;HC La Chaux-de-Fonds; 6:1; 3:0|1:1|2:0;;;False;Graben Sierre;3184
Di;23.02.2010;20:00;EHC Basel Sharks;EHC Visp; 3:7; 1:1|1:4|1:2;;;False;Basel St. Jakob;582
Di;23.02.2010;20:00;SC Langenthal;EHC Olten; 5:7; 1:1|1:2|3:4;;;False;Schoren Langenthal;2612
Di;23.02.2010;20:00;HC Ajoie;Lausanne HC; 5:2; 0:1|1:1|4:0;;;False;Porrentruy;1922
Di;23.02.2010;20:00;HC La Chaux-de-Fonds;HC Sierre; 5:1; 1:1|2:0|2:0;;;False;Chaux-de-Fds;2440
Fr;26.02.2010;20:00;EHC Visp;EHC Basel Sharks; 4:2; 2:1|0:1|2:0;;;False;Litternahalle Visp;2912
Fr;26.02.2010;20:00;EHC Olten;SC Langenthal; 2:4; 0:1|1:0|1:3;;;False;Kleinholz Olten;4176
Fr;26.02.2010;20:00;Lausanne HC;HC Ajoie; 2:4; 0:1|0:1|2:2;;;False;Lausanne Malley;5048
Fr;26.02.2010;20:00;HC Sierre;HC La Chaux-de-Fonds; 5:4; 1:1|3:2|1:1;;;False;Graben Sierre;3073
So;28.02.2010;16:00;EHC Basel Sharks;EHC Visp; 2:6; 0:2|2:1|0:3;;;False;Basel St. Jakob;1120
So;28.02.2010;17:00;HC La Chaux-de-Fonds;HC Sierre; 3:4; 1:1|2:0|0:3;;;False;Chaux-de-Fds;3162
So;28.02.2010;17:30;SC Langenthal;EHC Olten; 2:3; 0:1|1:2|1:0;;;False;Schoren Langenthal;3458
So;28.02.2010;18:15;HC Ajoie;Lausanne HC; 2:1; 1:0|0:1|1:0;;;False;Porrentruy;3215
Di;02.03.2010;20:00;EHC Olten;SC Langenthal; 1:3; 1:1|0:1|0:1;;;False;Kleinholz Olten;3636
Di;02.03.2010;20:00;Lausanne HC;HC Ajoie; 4:3; 1:0|3:1|0:2;;;False;Lausanne Malley;5114
Di;02.03.2010;20:00;HC Sierre;HC La Chaux-de-Fonds; 5:4; 0:1|3:2|1:1|1:0;OT;;False;Graben Sierre;3583
Fr;05.03.2010;20:00;SC Langenthal;EHC Olten; 1:0; 0:0|0:0|0:0|1:0;OT;;False;Schoren Langenthal;4019
Fr;05.03.2010;20:00;HC Ajoie;Lausanne HC; 2:4; 0:1|1:1|1:2;;;False;Porrentruy;4017
So;07.03.2010;16:00;Lausanne HC;HC Ajoie; 3:0; 1:0|0:0|2:0;;;False;Lausanne Malley;7739
So;07.03.2010;17:30;EHC Olten;SC Langenthal; 2:0; 0:0|0:0|2:0;;;False;Kleinholz Olten;5506
