Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
So;27.02.2011;17:30;EHC Olten;Lausanne HC; 3:4; 1:3|1:0|1:1;;;False;Kleinholz Olten;4963
So;27.02.2011;18:15;HC La Chaux-de-Fonds;EHC Visp; 3:6; 2:3|0:2|1:1;;;False;Chaux-de-Fonds;3917
Di;01.03.2011;20:00;EHC Visp;HC La Chaux-de-Fonds; 5:6; 1:1|1:1|3:3|0:1;OT;;False;Litternahalle Visp;4121
Di;01.03.2011;20:00;Lausanne HC;EHC Olten; 4:3; 0:0|2:1|1:2|1:0;SO;;False;Lausanne Malley;5828
Fr;04.03.2011;20:00;HC La Chaux-de-Fonds;EHC Visp; 3:2; 0:1|3:1|0:0;;;False;Chaux-de-Fonds;4198
Fr;04.03.2011;20:00;EHC Olten;Lausanne HC; 4:1; 1:0|1:1|2:0;;;False;Kleinholz Olten;4683
So;06.03.2011;17:00;Lausanne HC;EHC Olten; 3:0; 1:0|0:0|2:0;;;False;Lausanne Malley;7046
So;06.03.2011;18:15;EHC Visp;HC La Chaux-de-Fonds; 5:4; 0:0|4:1|0:3|1:0;OT;;False;Litternahalle Visp;3977
Di;08.03.2011;20:00;HC La Chaux-de-Fonds;EHC Visp; 7:1; 3:0|3:0|1:1;;;False;Chaux-de-Fonds;3551
Di;08.03.2011;20:00;EHC Olten;Lausanne HC; 3:2; 1:1|1:1|1:0;;;False;Kleinholz Olten;4026
Fr;11.03.2011;20:00;EHC Visp;HC La Chaux-de-Fonds; 5:4; 0:0|3:1|1:3|1:0;OT;;False;Litternahalle Visp;4201
Fr;11.03.2011;20:00;Lausanne HC;EHC Olten; 4:2; 1:0|1:1|2:1;;;False;Lausanne Malley;7014
So;13.03.2011;18:15;HC La Chaux-de-Fonds;EHC Visp; 3:4; 0:1|2:0|1:2|0:1;OT;;False;Chaux-de-Fonds;5166
