Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Di;28.02.2012;19:45;Lausanne HC;EHC Visp; 4:1; 0:0|2:0|2:1;;;False;Lausanne Malley;6027
Di;28.02.2012;20:00;SC Langenthal;HC La Chaux-de-Fonds; 3:4; 1:3|1:0|1:0|0:1;OT;;False;Schoren Langenthal;2495
Fr;02.03.2012;19:45;EHC Visp;Lausanne HC; 1:4; 0:1|1:1|0:2;;;False;Litternahalle Visp;4022
Fr;02.03.2012;20:00;HC La Chaux-de-Fonds;SC Langenthal; 3:4; 1:0|2:2|0:1|0:1;OT;;False;Chaux-de-Fds;4412
So;04.03.2012;18:30;Lausanne HC;EHC Visp; 3:2; 0:1|3:1|0:0;;;False;Lausanne Malley;7027
So;04.03.2012;18:30;SC Langenthal;HC La Chaux-de-Fonds; 0:1; 0:0|0:1|0:0;;;False;Schoren Langenthal;3183
Di;06.03.2012;19:45;EHC Visp;Lausanne HC; 0:4; 0:1|0:3|0:0;;;False;Litternahalle Visp;3871
Di;06.03.2012;20:00;HC La Chaux-de-Fonds;SC Langenthal; 2:3; 0:1|1:1|1:0|0:1;OT;;False;Chaux-de-Fds;3833
Fr;09.03.2012;19:45;SC Langenthal;HC La Chaux-de-Fonds; 5:4; 3:1|1:2|0:1|1:0;OT;;False;Schoren Langenthal;3405
So;11.03.2012;18:30;HC La Chaux-de-Fonds;SC Langenthal; 2:0; 0:0|2:0|0:0;;;False;Chaux-de-Fds;5143
Di;13.03.2012;19:45;SC Langenthal;HC La Chaux-de-Fonds; 2:1; 1:1|1:0|0:0;;;False;Schoren Langenthal;3741
