Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
So;09.03.2014;18:15;SCL Tigers;HC La Chaux-de-Fonds; 3:1; 1:0|1:0|1:1;;;False;Ilfis Stadion, Langnau;5377
So;09.03.2014;18:15;SC Langenthal;EHC Visp; 5:2; 2:1|1:0|2:1;;;False;KEB Schoren, Langenthal;2487
Di;11.03.2014;19:45;HC La Chaux-de-Fonds;SCL Tigers; 1:4; 1:1|0:1|0:2;;;False;P. des Mélèzes, La Chaux-de-Fonds;3493
Di;11.03.2014;19:45;EHC Visp;SC Langenthal; 3:2; 2:0|1:0|0:2;;;False;Litternahalle, Visp;3790
Fr;14.03.2014;19:45;SCL Tigers;HC La Chaux-de-Fonds; 3:4; 1:0|1:2|1:2;;;False;Ilfis Stadion, Langnau;5512
Fr;14.03.2014;19:45;SC Langenthal;EHC Visp; 5:6; 0:1|2:4|3:0|0:1;OT;;False;KEB Schoren, Langenthal;2597
So;16.03.2014;18:15;HC La Chaux-de-Fonds;SCL Tigers; 1:4; 1:1|0:0|0:3;;;False;P. des Mélèzes, La Chaux-de-Fonds;4332
So;16.03.2014;18:15;EHC Visp;SC Langenthal; 0:5; 0:2|0:1|0:2;;;False;Litternahalle, Visp;4200
Di;18.03.2014;19:45;SCL Tigers;HC La Chaux-de-Fonds; 9:4; 4:0|4:2|1:2;;;False;Ilfis Stadion, Langnau;4922
Di;18.03.2014;19:45;SC Langenthal;EHC Visp; 2:0; 0:0|1:0|1:0;;;False;KEB Schoren, Langenthal;2478
Fr;21.03.2014;19:45;EHC Visp;SC Langenthal; 5:2; 2:0|1:2|2:0;;;False;Litternahalle, Visp;3955
So;23.03.2014;18:15;SC Langenthal;EHC Visp; 3:5; 1:2|2:2|0:1;;;False;KEB Schoren, Langenthal;3823
