Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Sa;14.03.2009;19:48;Kloten Flyers;EV Zug; 3:2; 0:0|2:0|0:2|1:0;OT;;False;Kloten;7624
Sa;14.03.2009;19:48;HC Davos;Fribourg-Gottéron; 4:1; 2:1|1:0|1:0;;;False;Davos;5799
Di;17.03.2009;19:45;EV Zug;Kloten Flyers; 2:3; 1:0|1:2|0:1;;;False;Zug;6380
Di;17.03.2009;19:48;Fribourg-Gottéron;HC Davos; 5:3; 1:1|2:2|2:0;;;False;Fribourg;7125
Do;19.03.2009;19:45;Kloten Flyers;EV Zug; 6:0; 2:0|3:0|1:0;;;False;Kloten;7624
Do;19.03.2009;20:15;HC Davos;Fribourg-Gottéron; 1:2; 0:0|0:0|1:2;;;False;Vaillant-Arena;4742
Sa;21.03.2009;19:48;Fribourg-Gottéron;HC Davos; 1:0; 1:0|0:0|0:0;;;False;Fribourg;7125
Sa;21.03.2009;20:15;EV Zug;Kloten Flyers; 0:3; 0:1|0:1|0:1;;;False;Zug;6380
Di;24.03.2009;20:15;HC Davos;Fribourg-Gottéron; 3:2; 1:1|1:0|1:1;;;False;Vaillant Arena Davos;4496
Do;26.03.2009;20:15;Fribourg-Gottéron;HC Davos; 0:3; 0:1|0:0|0:2;;;False;Fribourg;7125
Sa;28.03.2009;20:15;HC Davos;Fribourg-Gottéron; 4:3; 0:1|2:1|2:1;;;False;Vaillant Arena;6926
