Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Do;02.04.2015;20:15;ZSC Lions;HC Davos; 3:0; 0:0|2:0|1:0;;;False;Hallenstadion AG, Zürich;11200
Sa;04.04.2015;20:15;HC Davos;ZSC Lions; 5:2; 1:1|2:1|2:0;;;False;Vaillant Arena, Davos;6850
Mo;06.04.2015;16:30;ZSC Lions;HC Davos; 2:3; 0:0|0:2|2:0|0:1;SO;;False;Hallenstadion AG, Zürich;11200
Do;09.04.2015;20:15;HC Davos;ZSC Lions; 4:3; 1:2|1:0|1:1|1:0;OT;;False;Vaillant Arena, Davos;6800
Sa;11.04.2015;20:15;ZSC Lions;HC Davos; 0:3; 0:0|0:0|0:3;;;False;Hallenstadion AG, Zürich;11200
