Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Di;03.04.2012;19:47;SC Bern;ZSC Lions; 4:2; 1:0|1:1|2:1;;;False;PostFinance Arena;17131
Do;05.04.2012;19:45;ZSC Lions;SC Bern; 2:1; 0:0|0:1|2:0;;;False;Hallenstadion Zürich;11200
Sa;07.04.2012;20:18;SC Bern;ZSC Lions; 3:0; 0:0|1:0|2:0;;;False;PostFinance Arena;17131
Mo;09.04.2012;16:00;ZSC Lions;SC Bern; 0:2; 0:0|0:1|0:1;;;False;Hallenstadion Zürich;11200
Do;12.04.2012;20:15;SC Bern;ZSC Lions; 1:2; 0:0|1:1|0:0|0:1;OT;;False;PostFinance Arena;17131
Sa;14.04.2012;20:15;ZSC Lions;SC Bern; 6:3; 0:0|4:2|2:1;;;False;Hallenstadion Zürich;11200
Di;17.04.2012;20:17;SC Bern;ZSC Lions; 1:2; 0:1|1:0|0:1;;;False;PostFinance Arena;17131
