Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Sa;17.03.2012;19:45;EV Zug;ZSC Lions; 1:7; 1:1|0:4|0:2;;;False;Bossard Arena Zug;7015
Sa;17.03.2012;19:45;Fribourg-Gottéron;SC Bern; 2:4; 1:1|1:2|0:1;;;False;BCF Arena Fribourg;6800
Di;20.03.2012;19:45;ZSC Lions;EV Zug; 2:1; 1:0|0:1|1:0;;;False;Hallenstadion Zürich;10071
Di;20.03.2012;19:45;SC Bern;Fribourg-Gottéron; 3:2; 1:0|0:2|1:0|1:0;SO;;False;PostFinance Arena;17131
Do;22.03.2012;19:45;Fribourg-Gottéron;SC Bern; 1:6; 0:2|0:1|1:3;;;False;BCF Arena Fribourg;6800
Do;22.03.2012;20:15;EV Zug;ZSC Lions; 2:3; 0:0|2:2|0:0|0:1;OT;;False;Bossard Arena Zug;7015
Sa;24.03.2012;19:45;ZSC Lions;EV Zug; 5:1; 1:0|3:0|1:1;;;False;Hallenstadion Zürich;11200
Sa;24.03.2012;20:17;SC Bern;Fribourg-Gottéron; 1:2; 1:1|0:0|0:0|0:1;SO;;False;PostFinance Arena;17131
Di;27.03.2012;20:15;Fribourg-Gottéron;SC Bern; 0:3; 0:0|0:1|0:2;;;False;BCF Arena Fribourg;6800
