Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Do;27.03.2014;19:45;ZSC Lions;Genève-Servette HC; 0:5; 0:1|0:2|0:2;;;False;Hallenstadion AG, Zürich;8377
Do;27.03.2014;20:15;Fribourg-Gottéron;Kloten Flyers; 2:4; 0:2|2:1|0:1;;;False;BCF Arena, Fribourg;6700
Sa;29.03.2014;19:45;Kloten Flyers;Fribourg-Gottéron; 3:2; 0:1|2:0|0:1|1:0;OT;;False;Kolping Arena, Kloten;7334
Sa;29.03.2014;20:16;Genève-Servette HC;ZSC Lions; 3:5; 1:2|2:1|0:2;;;False;Les Vernets, Genève;7135
Di;01.04.2014;19:45;Fribourg-Gottéron;Kloten Flyers; 7:1; 2:0|2:0|3:1;;;False;BCF Arena, Fribourg;6700
Di;01.04.2014;20:15;ZSC Lions;Genève-Servette HC; 6:2; 1:0|4:0|1:2;;;False;Hallenstadion AG, Zürich;10138
Do;03.04.2014;19:45;Genève-Servette HC;ZSC Lions; 4:2; 2:0|1:0|1:2;;;False;Les Vernets, Genève;7135
Do;03.04.2014;20:15;Kloten Flyers;Fribourg-Gottéron; 5:2; 2:1|2:0|1:1;;;False;Kolping Arena, Kloten;7624
Sa;05.04.2014;19:45;ZSC Lions;Genève-Servette HC; 2:0; 1:0|1:0|0:0;;;False;Hallenstadion AG, Zürich;10604
Sa;05.04.2014;20:15;Fribourg-Gottéron;Kloten Flyers; 2:1; 0:0|0:1|1:0|1:0;OT;;False;BCF Arena, Fribourg;6700
Di;08.04.2014;19:45;Kloten Flyers;Fribourg-Gottéron; 4:1; 0:0|3:1|1:0;;;False;Kolping Arena, Kloten;7287
Di;08.04.2014;20:15;Genève-Servette HC;ZSC Lions; 5:2; 1:0|3:0|1:2;;;False;Les Vernets, Genève;7135
Do;10.04.2014;20:15;ZSC Lions;Genève-Servette HC; 4:0; 2:0|2:0|0:0;;;False;Hallenstadion AG, Zürich;10394
