Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Do;26.02.2009;19:45;SC Bern;EV Zug; 5:2; 3:0|0:1|2:1;;;False;PostFinance Arena;16031
Do;26.02.2009;19:45;Kloten Flyers;Genève-Servette HC; 2:1; 1:1|0:0|1:0;;;False;Kloten;5092
Do;26.02.2009;19:45;HC Davos;HC Lugano; 1:2; 0:1|1:0|0:0|0:1;OT;;False;Vaillant Arena Daos;5334
Do;26.02.2009;19:48;ZSC Lions;Fribourg-Gottéron; 1:3; 0:0|0:2|1:1;;;False;Hallenstadion Zuerich;8206
Sa;28.02.2009;19:45;EV Zug;SC Bern; 3:2; 1:0|1:1|1:1;;;False;Zug;6380
Sa;28.02.2009;19:48;Fribourg-Gottéron;ZSC Lions; 3:0; 2:0|1:0|0:0;;;False;Fribourg;7125
Sa;28.02.2009;19:48;Genève-Servette HC;Kloten Flyers; 2:6; 0:4|1:0|1:2;;;False;Genève;6433
Sa;28.02.2009;19:48;HC Lugano;HC Davos; 2:3; 0:1|1:0|1:1|0:1;OT;;False;Lugano;5760
Di;03.03.2009;19:48;SC Bern;EV Zug; 3:2; 1:1|0:0|1:1|1:0;OT;;False;PostFinance Arena;16231
Di;03.03.2009;19:48;Kloten Flyers;Genève-Servette HC; 4:1; 1:1|2:0|1:0;;;False;Kloten;5441
Di;03.03.2009;19:50;ZSC Lions;Fribourg-Gottéron; 1:2; 0:2|0:0|1:0;;;False;Hallenstadion Zuerich;9189
Di;03.03.2009;20:15;HC Davos;HC Lugano; 4:3; 0:1|1:1|2:1|1:0;OT;;False;Vaillant-Arena;5056
Do;05.03.2009;19:45;EV Zug;SC Bern; 5:2; 1:1|2:0|2:1;;;False;Zug;6380
Do;05.03.2009;19:48;Genève-Servette HC;Kloten Flyers; 5:6; 1:1|1:2|3:2|0:1;SO;;False;Genève;6267
Do;05.03.2009;19:48;HC Lugano;HC Davos; 3:5; 1:1|0:2|2:2;;;False;Lugano;4838
Do;05.03.2009;20:15;Fribourg-Gottéron;ZSC Lions; 3:2; 0:1|1:1|1:0|1:0;OT;;False;Fribourg;7125
Sa;07.03.2009;19:48;SC Bern;EV Zug; 2:3; 0:0|1:3|1:0;;;False;PostFinance Arena;17131
Sa;07.03.2009;20:15;HC Davos;HC Lugano; 4:5; 1:0|2:3|1:1|0:1;OT;;False;Vaillant Arena;6926
Mo;09.03.2009;19:50;EV Zug;SC Bern; 3:1; 0:0|1:1|2:0;;;False;Zug;6380
Mo;09.03.2009;20:15;HC Lugano;HC Davos; 3:2; 0:0|0:1|2:1|1:0;SO;;False;Lugano;5524
Do;12.03.2009;20:15;HC Davos;HC Lugano; 7:1; 2:0|4:0|1:1;;;False;Vaillant Arena Davos;6277
