R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
169;Leone Robin;Kloten Flyers;Stürmer;7;0;1;0;0.14
170;Grieder Marc;HC Ambri-Piotta;Verteidiger;3;0;1;0;0.33
171;Gailland Jérémy;Lausanne HC;Stürmer;4;0;1;0;0.25
172;Fazzini Luca;HC Lugano;Stürmer;1;0;1;0;1.00
173;El Assaoui Sami;HC Ambri-Piotta;Verteidiger;3;0;1;0;0.33
174;Dal Pian Giacomo;HC Lugano;Stürmer;2;0;1;0;0.50
175;Blatter Florian;HC Lugano;Verteidiger;4;0;1;0;0.25
176;Back Rene;HC Davos;Verteidiger;6;0;1;0;0.17
177;Trunz Adrian;HC Ambri-Piotta;Verteidiger;4;0;0;-;0.00
178;Reist Alain;Lausanne HC;Verteidiger;3;0;0;-;0.00
179;Primeau Josh;Lausanne HC;Stürmer;2;0;0;-;0.00
180;Kobach Reto;HC Ambri-Piotta;Verteidiger;4;0;0;-;0.00
181;Kast Timothy;Genève-Servette HC;Stürmer;1;0;0;-;0.00
182;Hächler Cedric;ZSC Lions;Verteidiger;3;0;0;-;0.00
183;Camperchioli Luca;HC Davos;Verteidiger;2;0;0;-;0.00
184;Burki Codey;Lausanne HC;Stürmer;1;0;0;-;0.00
