R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Pettersson Fredrik;HC Lugano;Stürmer;50;26;223;11.66;4.46
2;Martschini Lino;EV Zug;Stürmer;50;26;183;14.21;3.66
3;Pesonen Harri;Lausanne HC;Stürmer;50;22;178;12.36;3.56
4;Danielsson Nicklas;Lausanne HC;Stürmer;49;12;161;7.45;3.29
5;Hollenstein Denis;Kloten Flyers;Stürmer;43;14;156;8.97;3.63
6;Giroux Alexandre;HC Ambri-Piotta;Stürmer;48;17;156;10.90;3.25
7;Immonen Jarkko;EV Zug;Stürmer;49;24;155;15.48;3.16
8;Conacher Cory;SC Bern;Stürmer;48;22;154;14.29;3.21
9;Plüss Martin;SC Bern;Stürmer;50;16;148;10.81;2.96
10;Bieber Matthias;Kloten Flyers;Stürmer;48;15;145;10.34;3.02
11;Clark Kevin;SCL Tigers;Stürmer;42;18;142;12.68;3.38
12;Klasen Linus;HC Lugano;Stürmer;49;14;141;9.93;2.88
13;D'Agostini Matt;Genève-Servette HC;Stürmer;46;20;140;14.29;3.04
14;Suri Reto;EV Zug;Stürmer;48;18;132;13.64;2.75
15;Brunner Damien;HC Lugano;Stürmer;36;13;132;9.85;3.67
16;Matthews Auston;ZSC Lions;Stürmer;36;24;129;18.60;3.58
17;Santala Tommi;Kloten Flyers;Stürmer;48;13;127;10.24;2.65
18;Holden Josh;EV Zug;Stürmer;48;18;127;14.17;2.65
19;Fransson Johan;Genève-Servette HC;Verteidiger;39;7;126;5.56;3.23
20;Pestoni Inti;HC Ambri-Piotta;Stürmer;50;15;125;12;2.50
21;Moser Simon;SC Bern;Stürmer;50;16;122;13.11;2.44
22;Lindgren Perttu;HC Davos;Stürmer;50;22;121;18.18;2.42
23;Wick Roman;ZSC Lions;Stürmer;38;11;120;9.17;3.16
24;Sprunger Julien;Fribourg-Gottéron;Stürmer;43;25;120;20.83;2.79
25;Loeffel Romain;Genève-Servette HC;Verteidiger;50;6;119;5.04;2.38
26;Spylo Ahren;EHC Biel;Stürmer;35;10;118;8.47;3.37
27;Louhivaara Ossi;Lausanne HC;Stürmer;43;12;118;10.17;2.74
28;Genazzi Joël;Lausanne HC;Verteidiger;49;11;117;9.40;2.39
29;Keller Ryan;ZSC Lions;Stürmer;47;18;116;15.52;2.47
30;Kolarik Chad;Kloten Flyers;Stürmer;36;15;114;13.16;3.17
31;Koistinen Ville;SCL Tigers;Verteidiger;46;6;114;5.26;2.48
32;Gustafsson Erik;Kloten Flyers;Verteidiger;48;3;114;2.63;2.38
33;Rossi Matthias;EHC Biel;Stürmer;49;13;113;11.50;2.31
34;Wieser Marc;HC Davos;Stürmer;50;24;111;21.62;2.22
35;Ambühl Andres;HC Davos;Stürmer;50;14;111;12.61;2.22
36;Sondell Daniel;EV Zug;Verteidiger;48;4;108;3.70;2.25
37;Jörg Mauro;HC Davos;Stürmer;47;11;108;10.19;2.30
38;Bodenmann Simon;SC Bern;Stürmer;44;8;108;7.41;2.45
39;Stapleton Tim;HC Lugano;Stürmer;43;11;107;10.28;2.49
40;Mäenpää Mikko;HC Ambri-Piotta;Verteidiger;46;6;107;5.61;2.33
41;Geering Patrick;ZSC Lions;Verteidiger;50;3;106;2.83;2.12
42;Bergeron Marc-André;ZSC Lions;Verteidiger;43;7;106;6.60;2.47
43;Steiner Daniel;EHC Biel;Stürmer;45;12;104;11.54;2.31
44;Mottet Killian;Fribourg-Gottéron;Stürmer;50;12;104;11.54;2.08
45;Emmerton Cory;HC Ambri-Piotta;Stürmer;49;15;104;14.42;2.12
46;Salminen Sakari;Fribourg-Gottéron;Stürmer;43;10;102;9.80;2.37
47;Lhotak Lukas;HC Ambri-Piotta;Stürmer;50;13;102;12.75;2.04
48;Haas Gaëtan;EHC Biel;Stürmer;38;9;102;8.82;2.68
49;Bouchard Pierre-Marc;EV Zug;Stürmer;49;12;102;11.76;2.08
50;Arlbrandt Pär;EHC Biel;Stürmer;36;12;101;11.88;2.81
51;Hofmann Gregory;HC Lugano;Stürmer;46;17;100;17;2.17
52;Bezina Goran;Genève-Servette HC;Verteidiger;50;6;100;6;2.00
53;Pyatt Tom;Genève-Servette HC;Stürmer;42;11;99;11.11;2.36
54;Nüssli Thomas;SCL Tigers;Stürmer;44;10;99;10.10;2.25
55;Nilsson Robert;ZSC Lions;Stürmer;48;12;99;12.12;2.06
56;Praplan Vincent;Kloten Flyers;Stürmer;50;18;98;18.37;1.96
57;Wick Jeremy;Genève-Servette HC;Stürmer;45;9;97;9.28;2.16
58;Lammer Dominic;EV Zug;Stürmer;45;12;97;12.37;2.16
59;Chiriaev Evgenï;SCL Tigers;Stürmer;46;9;97;9.28;2.11
60;Suter Pius;ZSC Lions;Stürmer;45;14;96;14.58;2.13
61;Schnyder Fabian;EV Zug;Stürmer;47;6;96;6.25;2.04
62;Bürgler Dario;EV Zug;Stürmer;47;10;95;10.53;2.02
63;Rathgeb Yannick;Fribourg-Gottéron;Verteidiger;50;9;93;9.68;1.86
64;DiDomenico Christopher;SCL Tigers;Stürmer;46;12;93;12.90;2.02
65;Helbling Timo;SC Bern;Verteidiger;50;4;92;4.35;1.84
66;Leone Robin;Kloten Flyers;Stürmer;41;9;91;9.89;2.22
67;Roy Derek;SC Bern;Stürmer;36;9;90;10;2.50
68;Tschantré Mathieu;EHC Biel;Stürmer;50;9;89;10.11;1.78
69;Maurer Marco;EHC Biel;Verteidiger;50;2;89;2.25;1.78
