R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
308;Boss Daniel;EHC Biel;Verteidiger;20;0;2;0;0.10
309;Svensson Patrik;SC Rapperswil-Jona Lakers;Stürmer;10;0;1;0;0.10
310;Schommer Patrick;ZSC Lions;Stürmer;3;0;1;0;0.33
311;Moser Stephan;SCL Tigers;Stürmer;9;0;1;0;0.11
312;Loeffel Romain;Fribourg-Gottéron;Verteidiger;3;0;1;0;0.33
313;Isabella Joey;HC Ambri-Piotta;Stürmer;5;0;1;0;0.20
314;Helfer Armin;Kloten Flyers;-;2;0;1;0;0.50
315;Füglister Jeffrey;Kloten Flyers;Stürmer;2;0;1;0;0.50
316;Fischer Simon;EHC Biel;Stürmer;15;0;1;0;0.07
317;Fischer Jannik;EV Zug;Verteidiger;17;0;1;0;0.06
318;Zangger Simon;SC Rapperswil-Jona Lakers;Verteidiger;6;0;0;-;0.00
319;Sutter Patrick;EV Zug;Verteidiger;1;0;0;-;0.00
320;Stalder Ralph;EHC Biel;Verteidiger;2;0;0;-;0.00
321;Ryser Kevin;SC Bern;Verteidiger;1;0;0;-;0.00
322;Profico Leandro;HC Lugano;Verteidiger;5;0;0;-;0.00
323;Marolf Mike;SCL Tigers;Verteidiger;2;0;0;-;0.00
324;Lemm Fadri;Kloten Flyers;Stürmer;5;0;0;-;0.00
325;Kienzle Lorenz;ZSC Lions;Verteidiger;1;0;0;-;0.00
326;Isabella Claudio;HC Ambri-Piotta;Stürmer;2;0;0;-;0.00
327;Iglesias Frédéric;Genève-Servette HC;Verteidiger;2;0;0;-;0.00
328;Hostettler Sebastien;EHC Biel;Verteidiger;2;0;0;-;0.00
329;Gruber Marco;SCL Tigers;Stürmer;1;0;0;-;0.00
330;Gailland Jérémy;Genève-Servette HC;Stürmer;1;0;0;-;0.00
331;Bruderer Sandro;SC Rapperswil-Jona Lakers;Stürmer;1;0;0;-;0.00
332;Boillat Nicolas;Genève-Servette HC;Stürmer;1;0;0;-;0.00
333;Blaser Yannick;EV Zug;Verteidiger;3;0;0;-;0.00
