R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Earl Robbie;SC Rapperswil-Jona Lakers;Stürmer;48;22;200;11;4.17
2;Dupont Micki;Kloten Flyers;Verteidiger;49;7;166;4.22;3.39
3;Pouliot Marc-Antoine;EHC Biel;Stürmer;48;9;160;5.62;3.33
4;Brunner Damien;EV Zug;Stürmer;33;25;156;16.03;4.73
5;Bezina Goran;Genève-Servette HC;Verteidiger;46;10;154;6.49;3.35
6;Hollenstein Denis;Kloten Flyers;Stürmer;48;12;148;8.11;3.08
7;Plüss Martin;SC Bern;Stürmer;50;18;146;12.33;2.92
8;Wick Roman;ZSC Lions;Stürmer;42;15;145;10.34;3.45
9;Williams Jason;HC Ambri-Piotta;Stürmer;47;26;139;18.71;2.96
10;Pelletier Pascal;SCL Tigers;Stürmer;46;19;138;13.77;3.00
11;Micflikier Jacob;EHC Biel;Stürmer;48;21;136;15.44;2.83
12;Heikkinen Ilkka;HC Lugano;Verteidiger;44;14;133;10.53;3.02
13;Holden Josh;EV Zug;Stürmer;50;18;132;13.64;2.64
14;McLean Brett;HC Lugano;Stürmer;50;13;130;10;2.60
15;Noreau Maxim;HC Ambri-Piotta;Verteidiger;45;10;128;7.81;2.84
16;Jenni Marcel;Kloten Flyers;Stürmer;46;11;128;8.59;2.78
17;Metropolit Glen;HC Lugano;Stürmer;50;20;126;15.87;2.52
18;Rüthemann Ivo;SC Bern;Stürmer;50;8;124;6.45;2.48
19;Omark Linus;EV Zug;Stürmer;48;17;124;13.71;2.58
20;Gardner Ryan;SC Bern;Stürmer;50;25;124;20.16;2.48
21;Bärtschi Patrik;ZSC Lions;Stürmer;50;12;124;9.68;2.48
22;Seguin Tyler;EHC Biel;Stürmer;29;25;123;20.33;4.24
23;Pestoni Inti;HC Ambri-Piotta;Stürmer;43;9;123;7.32;2.86
24;Sprunger Julien;Fribourg-Gottéron;Stürmer;32;19;122;15.57;3.81
25;Bürgler Dario;HC Davos;Stürmer;49;22;121;18.18;2.47
26;Gamache Simon;Fribourg-Gottéron;Stürmer;45;15;119;12.61;2.64
27;Stancescu Victor;Kloten Flyers;Stürmer;43;13;118;11.02;2.74
28;Vauclair Julien;HC Lugano;Verteidiger;47;7;117;5.98;2.49
29;Froidevaux Etienne;SCL Tigers;Stürmer;42;8;115;6.96;2.74
30;Park Richard;HC Ambri-Piotta;Stürmer;48;9;114;7.89;2.38
31;Keller Ryan;Genève-Servette HC;Stürmer;46;12;113;10.62;2.46
32;Bieber Matthias;Kloten Flyers;Stürmer;45;12;113;10.62;2.51
33;Mauldin Greg;Fribourg-Gottéron;Stürmer;39;13;111;11.71;2.85
34;Hofmann Gregory;HC Davos;Stürmer;49;16;111;14.41;2.27
35;Suri Reto;EV Zug;Stürmer;46;14;110;12.73;2.39
36;Shannon Ryan;ZSC Lions;Stürmer;42;12;110;10.91;2.62
37;Wieser Dino;HC Davos;Stürmer;49;14;108;12.96;2.20
38;Ritchie Byron;SC Bern;Stürmer;46;19;108;17.59;2.35
39;Monnet Thibaut;ZSC Lions;Stürmer;50;18;107;16.82;2.14
40;Bodenmann Simon;Kloten Flyers;Stürmer;49;15;107;14.02;2.18
41;Weber Yannick;Genève-Servette HC;Verteidiger;32;5;106;4.72;3.31
42;Tavares John;SC Bern;Stürmer;28;17;106;16.04;3.79
43;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;46;14;106;13.21;2.30
44;McLean Kurtis;SCL Tigers;Stürmer;46;7;105;6.67;2.28
45;Santala Tommi;Kloten Flyers;Stürmer;45;11;104;10.58;2.31
46;Mercier Jonathan;Genève-Servette HC;Verteidiger;49;3;103;2.91;2.10
47;Rytz Philippe;SCL Tigers;Verteidiger;50;3;101;2.97;2.02
48;Romy Kevin;Genève-Servette HC;Stürmer;50;15;101;14.85;2.02
49;Riesen Michel;SC Rapperswil-Jona Lakers;Stürmer;47;13;101;12.87;2.15
50;Genazzi Joël;SCL Tigers;Verteidiger;41;9;101;8.91;2.46
51;Ambühl Andres;ZSC Lions;Stürmer;45;19;100;19;2.22
52;Sejna Peter;SC Rapperswil-Jona Lakers;Stürmer;47;20;99;20.20;2.11
53;Streit Mark;SC Bern;Verteidiger;32;7;98;7.14;3.06
54;Plüss Benny;Fribourg-Gottéron;Stürmer;50;16;98;16.33;1.96
55;Bykov Andrey;Fribourg-Gottéron;Stürmer;46;13;97;13.40;2.11
56;Ruefenacht Thomas;HC Lugano;Stürmer;40;14;96;14.58;2.40
57;Murray Jordan;HC Lugano;Stürmer;50;5;96;5.21;1.92
58;Zetterberg Henrik;EV Zug;Stürmer;23;16;94;17.02;4.09
59;Blum Eric-Ray;Kloten Flyers;Verteidiger;45;5;94;5.32;2.09
60;Schelling Philippe;Kloten Flyers;Verteidiger;50;8;93;8.60;1.86
61;Moser Simon;SCL Tigers;Stürmer;35;10;93;10.75;2.66
62;Casutt Corsin;EV Zug;Stürmer;48;10;93;10.75;1.94
63;Wellinger Thomas;EHC Biel;Verteidiger;45;2;92;2.17;2.04
64;Kutlak Zdenek;HC Ambri-Piotta;Verteidiger;45;1;92;1.09;2.04
