R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Brunner Damien;EV Zug;Stürmer;45;24;198;12.12;4.40
2;Dupont Micki;Kloten Flyers;Verteidiger;49;6;182;3.30;3.71
3;Pothier Brian;Genève-Servette HC;Verteidiger;50;6;174;3.45;3.48
4;Tambellini Jeff;ZSC Lions;Stürmer;50;23;158;14.56;3.16
5;Rüthemann Ivo;SC Bern;Stürmer;50;9;155;5.81;3.10
6;Moser Simon;SCL Tigers;Stürmer;50;18;154;11.69;3.08
7;Bordeleau Sébastien;EHC Biel;Stürmer;42;15;153;9.80;3.64
8;Sprunger Julien;Fribourg-Gottéron;Stürmer;49;27;147;18.37;3.00
9;Ambühl Andres;ZSC Lions;Stürmer;48;14;145;9.66;3.02
10;Spylo Ahren;EHC Biel;Stürmer;45;15;144;10.42;3.20
11;Bezina Goran;Genève-Servette HC;Verteidiger;50;7;138;5.07;2.76
12;Polak Vojtech;SCL Tigers;Stürmer;44;13;136;9.56;3.09
13;Perrault Joel;HC Ambri-Piotta;Stürmer;50;12;136;8.82;2.72
14;Gamache Simon;Fribourg-Gottéron;Stürmer;50;20;132;15.15;2.64
15;Suri Reto;SC Rapperswil-Jona Lakers;Stürmer;50;11;130;8.46;2.60
16;Wozniewski Andy;EV Zug;Verteidiger;47;11;129;8.53;2.74
17;Sykora Petr;HC Davos;Stürmer;46;21;129;16.28;2.80
18;Plüss Benny;Fribourg-Gottéron;Stürmer;48;15;126;11.90;2.62
19;Steiner Daniel;HC Lugano;Stürmer;50;16;124;12.90;2.48
20;Sejna Peter;HC Davos;Stürmer;49;19;124;15.32;2.53
21;Kwiatkowski Joel;SC Bern;Verteidiger;42;8;124;6.45;2.95
22;Bednar Jaroslav;HC Lugano;Stürmer;45;16;124;12.90;2.76
23;Santala Tommi;Kloten Flyers;Stürmer;47;9;119;7.56;2.53
24;McLean Kurtis;SCL Tigers;Stürmer;49;14;119;11.76;2.43
25;Casutt Corsin;EV Zug;Stürmer;50;8;119;6.72;2.38
26;Pittis Domenico;ZSC Lions;Stürmer;49;12;118;10.17;2.41
