R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;EHC Visp;45;176;3.91;44;0.98;25;267:54;05:57;8;0.18
2;EHC Basel Sharks;45;185;4.11;40;0.89;21.62;285:06;06:20;7;0.16
3;HC La Chaux-de-Fonds;45;186;4.13;38;0.84;20.43;296:53;06:35;6;0.13
4;SC Langenthal;45;163;3.62;33;0.73;20.25;266:03;05:54;4;0.09
5;HC Ajoie;45;212;4.71;40;0.89;18.87;327:57;07:17;5;0.11
;Durchschnitt;45;187;4.16;34;0.76;18.18;297:07;06:36;6;0.13
6;EHC Olten;45;221;4.91;40;0.89;18.10;314:02;06:58;2;0.04
7;SCL Tigers;45;219;4.87;37;0.82;16.89;352:36;07:50;2;0.04
8;HC Red Ice;45;163;3.62;25;0.56;15.34;278:03;06:10;7;0.16
9;Hockey Thurgau;45;176;3.91;27;0.60;15.34;284:24;06:19;10;0.22
10;GCK Lions;45;178;3.96;24;0.53;13.48;298:17;06:37;10;0.22
