R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;SC Langenthal;45;210;4.67;48;1.07;22.86;333:39;07:24;4;0.09
2;HC La Chaux-de-Fonds;45;223;4.96;49;1.09;21.97;330:07;07:20;7;0.16
3;Lausanne HC;45;213;4.73;46;1.02;21.60;327:08;07:16;5;0.11
4;EHC Visp;45;192;4.27;39;0.87;20.31;300:36;06:40;5;0.11
5;HC Ajoie;45;218;4.84;43;0.96;19.72;332:49;07:23;8;0.18
6;EHC Olten;45;234;5.20;44;0.98;18.80;386:48;08:35;10;0.22
;Durchschnitt;45;208;4.62;38;0.84;18.27;326:05;07:14;7;0.16
7;HC Sierre;45;206;4.58;35;0.78;16.99;323:50;07:11;11;0.24
8;EHC Basel Sharks;45;183;4.07;27;0.60;14.75;282:14;06:16;5;0.11
9;GCK Lions;45;208;4.62;28;0.62;13.46;337:35;07:30;4;0.09
10;Hockey Thurgau;45;194;4.31;25;0.56;12.89;306:10;06:48;11;0.24
