R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;SC Langenthal;50;232;4.64;61;1.22;26.29;353:11;07:03;6;0.12
2;EHC Olten;50;264;5.28;57;1.14;21.59;393:39;07:52;9;0.18
3;EHC Visp;50;203;4.06;42;0.84;20.69;310:59;06:13;5;0.10
4;Lausanne HC;50;223;4.46;45;0.90;20.18;348:55;06:58;6;0.12
;Durchschnitt;50;226;4.52;43;0.86;19.03;348:52;06:58;6;0.12
5;HC La Chaux-de-Fonds;50;232;4.64;43;0.86;18.53;354:08;07:04;5;0.10
6;EHC Basel Sharks;50;189;3.78;35;0.70;18.52;307:55;06:09;4;0.08
7;HC Ajoie;50;260;5.20;48;0.96;18.46;390:26;07:48;3;0.06
8;Hockey Thurgau;50;237;4.74;43;0.86;18.14;366:19;07:19;13;0.26
9;HC Red Ice;50;227;4.54;39;0.78;17.18;350:32;07:00;4;0.08
10;GCK Lions;50;218;4.36;35;0.70;16.06;337:53;06:45;5;0.10
11;HC Sierre;50;210;4.20;27;0.54;12.86;323:39;06:28;15;0.30
