R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;EHC Visp;48;213;4.44;50;1.04;23.47;314:11;06:32;4;0.08
2;SC Langenthal;48;198;4.12;40;0.83;20.20;304:22;06:20;2;0.04
3;HC Red Ice;48;183;3.81;36;0.75;19.67;286:14;05:57;5;0.10
4;EHC Olten;48;204;4.25;38;0.79;18.63;322:55;06:43;9;0.19
5;SCL Tigers;48;258;5.38;47;0.98;18.22;390:04;08:07;9;0.19
;Durchschnitt;48;207;4.31;37;0.77;17.87;326:02;06:47;6;0.12
6;Hockey Thurgau;48;212;4.42;36;0.75;16.98;335:47;06:59;7;0.15
7;HC La Chaux-de-Fonds;48;203;4.23;32;0.67;15.76;342:16;07:07;8;0.17
8;HC Ajoie;48;205;4.27;31;0.65;15.12;328:47;06:50;7;0.15
9;GCK Lions;48;191;3.98;27;0.56;14.14;309:42;06:27;7;0.15
