R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;SC Langenthal;45;166;3.69;41;0.91;24.70;250:30;05:34;1;0.02
2;SC Rapperswil-Jona Lakers;45;183;4.07;43;0.96;23.50;286:41;06:22;2;0.04
3;HC Ajoie;45;197;4.38;45;1.00;22.84;320:45;07:07;1;0.02
4;EHC Olten;45;174;3.87;35;0.78;20.11;275:27;06:07;7;0.16
5;HC La Chaux-de-Fonds;45;178;3.96;33;0.73;18.54;292:27;06:29;7;0.16
;Durchschnitt;45;179;3.98;33;0.73;18.44;286:16;06:21;4;0.09
6;HC Red Ice;45;181;4.02;33;0.73;18.23;286:23;06:21;7;0.16
7;EHC Visp;45;161;3.58;28;0.62;17.39;251:44;05:35;3;0.07
8;EHC Winterthur;45;204;4.53;32;0.71;15.69;320:33;07:07;11;0.24
9;GCK Lions;45;181;4.02;24;0.53;13.26;306:04;06:48;8;0.18
10;Hockey Thurgau;45;167;3.71;20;0.44;11.98;272:13;06:02;2;0.04
