Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Mi;10.09.2014;19:45;ZSC Lions;SC Rapperswil-Jona Lakers; 4:1; 1:1|1:0|2:0;;;False;Hallenstadion AG, Zürich;8196
Fr;12.09.2014;19:45;HC Ambri-Piotta;SC Bern; 4:3; 0:0|2:1|1:2|1:0;SO;;False;Stadio Valascia, Ambri;6500
Fr;12.09.2014;19:45;Fribourg-Gottéron;ZSC Lions; 4:3; 0:0|2:2|2:1;;;False;BCF Arena, Fribourg;6280
Fr;12.09.2014;19:45;EV Zug;HC Davos; 2:1; 0:1|0:0|1:0|1:0;SO;;False;BOSSARD Arena, Zug;7015
Fr;12.09.2014;19:45;Kloten Flyers;Genève-Servette HC; 2:3; 1:2|1:0|0:1;;;False;Kolping Arena, Kloten;4802
Fr;12.09.2014;19:45;EHC Biel;Lausanne HC; 5:2; 2:0|3:1|0:1;;;False;Eisstadion, Biel-Bienne;4661
Fr;12.09.2014;19:45;HC Lugano;SC Rapperswil-Jona Lakers; 3:1; 0:0|2:1|1:0;;;False;Pista Resega, Porza;5130
Sa;13.09.2014;19:45;HC Davos;Fribourg-Gottéron; 8:2; 5:0|1:0|2:2;;;False;Vaillant Arena, Davos;4814
Sa;13.09.2014;19:45;Lausanne HC;Kloten Flyers; 4:0; 2:0|1:0|1:0;;;False;P. de Malley, Lausanne;5661
Sa;13.09.2014;19:45;SC Rapperswil-Jona Lakers;EV Zug; 1:3; 0:1|0:1|1:1;;;False;Diners Club Arena, Rapperswil;4507
Sa;13.09.2014;19:45;Genève-Servette HC;HC Lugano; 3:4; 2:1|0:2|1:0|0:1;SO;;False;Les Vernets, Genève;6092
Sa;13.09.2014;19:45;SC Bern;EHC Biel; 2:1; 1:0|1:0|0:1;;;False;PostFinance-Arena, Bern;16775
Sa;13.09.2014;19:45;ZSC Lions;HC Ambri-Piotta; 5:1; 1:1|3:0|1:0;;;False;Hallenstadion AG, Zürich;8424
Di;16.09.2014;19:45;Lausanne HC;HC Lugano; 2:4; 0:1|1:2|1:1;;;False;P. de Malley, Lausanne;5340
Di;16.09.2014;19:45;ZSC Lions;EV Zug; 6:4; 0:4|3:0|3:0;;;False;Hallenstadion AG, Zürich;7834
Di;16.09.2014;19:45;SC Bern;Fribourg-Gottéron; 4:3; 1:1|0:0|2:2|1:0;OT;;False;PostFinance-Arena, Bern;15549
Di;16.09.2014;19:45;SC Rapperswil-Jona Lakers;HC Ambri-Piotta; 4:2; 1:2|3:0|0:0;;;False;Diners Club Arena, Rapperswil;3824
Di;16.09.2014;19:45;HC Davos;Kloten Flyers; 8:3; 4:1|1:2|3:0;;;False;Vaillant Arena, Davos;3186
Di;16.09.2014;19:45;Genève-Servette HC;EHC Biel; 5:4; 3:0|1:3|0:1|1:0;SO;;False;Les Vernets, Genève;5622
Fr;19.09.2014;19:45;EV Zug;Lausanne HC; 5:0; 1:0|2:0|2:0;;;False;BOSSARD Arena, Zug;5606
Fr;19.09.2014;19:45;Fribourg-Gottéron;Genève-Servette HC; 3:4; 0:1|3:1|0:2;;;False;BCF Arena, Fribourg;6270
Fr;19.09.2014;19:45;HC Ambri-Piotta;HC Davos; 3:4; 1:2|1:1|1:0|0:1;SO;;False;Stadio Valascia, Ambri;4896
Fr;19.09.2014;19:45;EHC Biel;SC Rapperswil-Jona Lakers; 3:4; 0:3|2:0|1:0|0:1;OT;;False;Eisstadion, Biel-Bienne;4478
Fr;19.09.2014;19:45;HC Lugano;SC Bern; 3:2; 0:0|1:2|1:0|1:0;SO;;False;Pista Resega, Porza;5451
Fr;19.09.2014;19:45;Kloten Flyers;ZSC Lions; 0:2; 0:0|0:2|0:0;;;False;Kolping Arena, Kloten;6016
Sa;20.09.2014;19:45;Genève-Servette HC;EV Zug; 4:3; 0:0|1:2|3:1;;;False;Les Vernets, Genève;6157
Sa;20.09.2014;19:45;SC Rapperswil-Jona Lakers;Fribourg-Gottéron; 4:5; 1:2|1:1|2:1|0:1;OT;;False;Diners Club Arena, Rapperswil;4702
Sa;20.09.2014;19:45;HC Davos;HC Lugano; 2:1; 0:0|1:0|1:1;;;False;Vaillant Arena, Davos;5640
Sa;20.09.2014;19:45;SC Bern;Kloten Flyers; 5:4; 4:2|1:2|0:0;;;False;PostFinance-Arena, Bern;15734
Sa;20.09.2014;19:45;ZSC Lions;EHC Biel; 2:3; 1:1|1:0|0:1|0:1;SO;;False;Hallenstadion AG, Zürich;7975
Sa;20.09.2014;19:45;Lausanne HC;HC Ambri-Piotta; 0:2; 0:1|0:1|0:0;;;False;P. de Malley, Lausanne;5865
Fr;26.09.2014;19:45;ZSC Lions;SC Bern; 5:2; 1:0|0:2|4:0;;;False;Hallenstadion AG, Zürich;8449
Fr;26.09.2014;19:45;Fribourg-Gottéron;HC Lugano; 3:6; 2:3|0:2|1:1;;;False;BCF Arena, Fribourg;6179
Fr;26.09.2014;19:45;Lausanne HC;Genève-Servette HC; 5:1; 1:0|2:1|2:0;;;False;P. de Malley, Lausanne;7315
Fr;26.09.2014;19:45;SC Rapperswil-Jona Lakers;HC Davos; 3:4; 1:2|1:1|1:1;;;False;Diners Club Arena, Rapperswil;5285
Fr;26.09.2014;19:45;HC Ambri-Piotta;EV Zug; 2:1; 0:0|0:0|1:1|1:0;SO;;False;Stadio Valascia, Ambri;5116
Fr;26.09.2014;19:45;EHC Biel;Kloten Flyers; 2:1; 1:0|0:0|0:1|1:0;OT;;False;Eisstadion, Biel-Bienne;4347
Sa;27.09.2014;19:45;HC Davos;Lausanne HC; 5:3; 1:0|1:1|3:2;;;False;Vaillant Arena, Davos;4035
Sa;27.09.2014;19:45;Genève-Servette HC;ZSC Lions; 3:2; 1:1|1:1|0:0|1:0;OT;;False;Les Vernets, Genève;6512
Sa;27.09.2014;19:45;EV Zug;Fribourg-Gottéron; 6:1; 2:1|1:0|3:0;;;False;BOSSARD Arena, Zug;6324
Sa;27.09.2014;19:45;SC Bern;SC Rapperswil-Jona Lakers; 5:2; 0:0|2:1|3:1;;;False;PostFinance-Arena, Bern;15145
Sa;27.09.2014;19:45;Kloten Flyers;HC Ambri-Piotta; 3:2; 0:2|1:0|2:0;;;False;Kolping Arena, Kloten;4903
Sa;27.09.2014;19:47;HC Lugano;EHC Biel; 7:4; 4:0|1:1|2:3;;;False;Pista Resega, Porza;5073
Mo;29.09.2014;19:45;ZSC Lions;Fribourg-Gottéron; 4:1; 0:0|3:1|1:0;;;False;Hallenstadion AG, Zürich;7989
Di;30.09.2014;19:45;Genève-Servette HC;Lausanne HC; 0:3; 0:1|0:0|0:2;;;False;Les Vernets, Genève;6697
Fr;03.10.2014;19:45;Genève-Servette HC;HC Davos; 1:5; 1:1|0:4|0:0;;;False;Les Vernets, Genève;6329
Fr;03.10.2014;19:45;Lausanne HC;SC Bern; 4:1; 3:0|1:1|0:0;;;False;P. de Malley, Lausanne;7079
Fr;03.10.2014;19:45;EV Zug;Kloten Flyers; 3:0; 0:0|2:0|1:0;;;False;BOSSARD Arena, Zug;6093
Fr;03.10.2014;19:45;SC Rapperswil-Jona Lakers;ZSC Lions; 4:6; 1:3|2:2|1:1;;;False;Diners Club Arena, Rapperswil;4217
Fr;03.10.2014;19:45;EHC Biel;Fribourg-Gottéron; 4:1; 0:1|3:0|1:0;;;False;Eisstadion, Biel-Bienne;4854
Fr;03.10.2014;20:30;HC Ambri-Piotta;HC Lugano; 5:4; 0:1|2:3|2:0|1:0;OT;;False;Stadio Valascia, Ambri;6500
Sa;04.10.2014;19:45;ZSC Lions;Lausanne HC; 2:0; 1:0|1:0|0:0;;;False;Hallenstadion AG, Zürich;8147
Sa;04.10.2014;19:45;SC Bern;Genève-Servette HC; 4:1; 3:1|1:0|0:0;;;False;PostFinance-Arena, Bern;15779
Sa;04.10.2014;19:45;Fribourg-Gottéron;HC Ambri-Piotta; 4:3; 1:1|1:1|1:1|1:0;SO;;False;BCF Arena, Fribourg;6241
Sa;04.10.2014;19:45;HC Lugano;EV Zug; 2:3; 1:2|0:0|1:0|0:1;OT;;False;Pista Resega, Porza;5126
Sa;04.10.2014;19:45;HC Davos;EHC Biel; 7:0; 1:0|3:0|3:0;;;False;Vaillant Arena, Davos;4579
Sa;04.10.2014;19:45;Kloten Flyers;SC Rapperswil-Jona Lakers; 3:2; 0:1|2:1|1:0;;;False;Kolping Arena, Kloten;4652
Fr;10.10.2014;19:45;SC Bern;EV Zug; 3:4; 1:3|1:0|1:1;;;False;PostFinance-Arena, Bern;15757
Fr;10.10.2014;19:45;Lausanne HC;Fribourg-Gottéron; 5:3; 2:1|2:0|1:2;;;False;P. de Malley, Lausanne;7561
Fr;10.10.2014;19:45;Kloten Flyers;HC Lugano; 3:2; 0:2|1:0|1:0|1:0;SO;;False;Kolping Arena, Kloten;5174
Fr;10.10.2014;19:45;EHC Biel;HC Ambri-Piotta; 2:4; 1:0|1:2|0:2;;;False;Eisstadion, Biel-Bienne;4873
Fr;10.10.2014;19:45;Genève-Servette HC;SC Rapperswil-Jona Lakers; 5:3; 2:1|2:2|1:0;;;False;Les Vernets, Genève;6339
Sa;11.10.2014;19:45;HC Davos;SC Bern; 6:3; 1:2|2:1|3:0;;;False;Vaillant Arena, Davos;6025
Sa;11.10.2014;19:45;HC Ambri-Piotta;Genève-Servette HC; 3:2; 2:0|0:1|0:1|1:0;SO;;False;Stadio Valascia, Ambri;6062
Sa;11.10.2014;19:45;SC Rapperswil-Jona Lakers;Lausanne HC; 1:2; 0:0|0:1|1:0|0:1;SO;;False;Diners Club Arena, Rapperswil;3641
Sa;11.10.2014;19:45;EV Zug;EHC Biel; 3:4; 1:0|0:2|2:2;;;False;BOSSARD Arena, Zug;6203
Sa;11.10.2014;19:45;HC Lugano;ZSC Lions; 2:1; 1:1|1:0|0:0;;;False;Pista Resega, Porza;5439
So;12.10.2014;15:45;ZSC Lions;HC Davos; 4:1; 3:1|1:0|0:0;;;False;Hallenstadion AG, Zürich;11200
Di;14.10.2014;19:45;Fribourg-Gottéron;SC Bern; 1:4; 0:1|1:2|0:1;;;False;BCF Arena, Fribourg;6034
Di;14.10.2014;19:45;EHC Biel;Genève-Servette HC; 2:3; 1:2|1:0|0:0|0:1;OT;;False;Eisstadion, Biel-Bienne;3983
Di;14.10.2014;19:45;EV Zug;ZSC Lions; 4:0; 1:0|1:0|2:0;;;False;BOSSARD Arena, Zug;6131
Di;14.10.2014;19:45;HC Ambri-Piotta;SC Rapperswil-Jona Lakers; 1:3; 1:0|0:3|0:0;;;False;Stadio Valascia, Ambri;3583
Di;14.10.2014;19:45;Kloten Flyers;HC Davos; 3:2; 2:0|1:1|0:1;;;False;Kolping Arena, Kloten;5638
Di;14.10.2014;19:45;HC Lugano;Lausanne HC; 5:4; 1:1|2:2|2:1;;;False;Pista Resega, Porza;4673
Fr;17.10.2014;19:45;Genève-Servette HC;Kloten Flyers; 3:4; 1:1|2:1|0:2;;;False;Les Vernets, Genève;6533
Fr;17.10.2014;19:45;SC Bern;HC Ambri-Piotta; 3:0; 0:0|1:0|2:0;;;False;PostFinance-Arena, Bern;15665
Fr;17.10.2014;19:45;SC Rapperswil-Jona Lakers;HC Lugano; 0:2; 0:0|0:1|0:1;;;False;Diners Club Arena, Rapperswil;4311
Fr;17.10.2014;19:45;Lausanne HC;EHC Biel; 5:0; 3:0|1:0|1:0;;;False;P. de Malley, Lausanne;6271
Sa;18.10.2014;19:45;EV Zug;SC Rapperswil-Jona Lakers; 3:2; 2:0|1:0|0:2;;;False;BOSSARD Arena, Zug;6196
Sa;18.10.2014;19:45;HC Ambri-Piotta;ZSC Lions; 1:5; 0:1|0:1|1:3;;;False;Stadio Valascia, Ambri;5689
Sa;18.10.2014;19:45;Kloten Flyers;Lausanne HC; 3:4; 2:1|0:1|1:2;;;False;Kolping Arena, Kloten;4817
Sa;18.10.2014;19:45;Fribourg-Gottéron;HC Davos; 5:6; 1:5|2:1|2:0;;;False;BCF Arena, Fribourg;6250
Sa;18.10.2014;19:45;HC Lugano;Genève-Servette HC; 4:3; 2:2|0:0|1:1|1:0;SO;;False;Pista Resega, Porza;5264
Sa;18.10.2014;19:45;EHC Biel;SC Bern; 1:4; 1:0|0:2|0:2;;;False;Eisstadion, Biel-Bienne;5342
So;19.10.2014;15:45;HC Davos;EV Zug; 7:5; 3:1|3:2|1:2;;;False;Vaillant Arena, Davos;5017
Mo;20.10.2014;19:45;ZSC Lions;Kloten Flyers; 4:1; 0:1|0:0|4:0;;;False;Hallenstadion AG, Zürich;9397
Di;21.10.2014;19:45;SC Bern;HC Lugano; 3:2; 1:0|2:1|0:1;;;False;PostFinance-Arena, Bern;15447
Di;21.10.2014;19:45;Lausanne HC;EV Zug; 1:3; 0:0|0:1|1:2;;;False;P. de Malley, Lausanne;6065
Di;21.10.2014;19:45;Genève-Servette HC;Fribourg-Gottéron; 4:1; 1:1|1:0|2:0;;;False;Les Vernets, Genève;6714
Di;21.10.2014;19:45;HC Davos;HC Ambri-Piotta; 6:0; 1:0|2:0|3:0;;;False;Vaillant Arena, Davos;3279
Di;21.10.2014;19:45;SC Rapperswil-Jona Lakers;EHC Biel; 2:6; 0:2|1:3|1:1;;;False;Diners Club Arena, Rapperswil;3998
Fr;24.10.2014;19:45;Genève-Servette HC;Lausanne HC; 2:3; 1:1|1:1|0:1;;;False;Les Vernets, Genève;7023
Fr;24.10.2014;19:45;HC Lugano;Fribourg-Gottéron; 5:4; 1:0|3:3|1:1;;;False;Pista Resega, Porza;5086
Fr;24.10.2014;19:45;HC Davos;SC Rapperswil-Jona Lakers; 5:2; 3:0|1:2|1:0;;;False;Vaillant Arena, Davos;3445
Fr;24.10.2014;19:45;Kloten Flyers;EHC Biel; 4:3; 1:0|1:1|1:2|1:0;OT;;False;Kolping Arena, Kloten;4694
Fr;24.10.2014;19:45;EV Zug;HC Ambri-Piotta; 5:1; 2:0|2:1|1:0;;;False;BOSSARD Arena, Zug;6151
Fr;24.10.2014;19:45;SC Bern;ZSC Lions; 4:2; 2:0|1:2|1:0;;;False;PostFinance-Arena, Bern;15911
Sa;25.10.2014;19:45;Lausanne HC;HC Davos; 3:2; 1:1|0:1|2:0;;;False;P. de Malley, Lausanne;6446
Sa;25.10.2014;19:45;ZSC Lions;Genève-Servette HC; 5:3; 2:0|1:2|2:1;;;False;Hallenstadion AG, Zürich;8875
Sa;25.10.2014;19:45;EHC Biel;HC Lugano; 2:1; 1:0|1:0|0:1;;;False;Eisstadion, Biel-Bienne;4707
Sa;25.10.2014;19:45;SC Rapperswil-Jona Lakers;SC Bern; 4:5; 1:2|3:1|0:1|0:1;SO;;False;Diners Club Arena, Rapperswil;3994
Sa;25.10.2014;19:45;HC Ambri-Piotta;Kloten Flyers; 3:4; 1:1|1:3|1:0;;;False;Stadio Valascia, Ambri;5108
Sa;25.10.2014;19:47;Fribourg-Gottéron;EV Zug; 5:2; 2:0|1:0|2:2;;;False;BCF Arena, Fribourg;6308
Mo;27.10.2014;19:45;ZSC Lions;Fribourg-Gottéron; 2:3; 1:1|1:1|0:0|0:1;OT;;False;Hallenstadion AG, Zürich;8979
Fr;31.10.2014;19:45;Kloten Flyers;EV Zug; 4:3; 1:0|1:0|1:3|1:0;SO;;False;Kolping Arena, Kloten;4998
Fr;31.10.2014;19:45;HC Davos;Genève-Servette HC; 5:2; 2:0|0:0|3:2;;;False;Vaillant Arena, Davos;3694
Fr;31.10.2014;19:45;SC Bern;Lausanne HC; 5:1; 1:1|3:0|1:0;;;False;PostFinance-Arena, Bern;15821
Fr;31.10.2014;19:45;Fribourg-Gottéron;EHC Biel; 6:3; 4:1|0:2|2:0;;;False;BCF Arena, Fribourg;6342
Fr;31.10.2014;20:30;HC Lugano;HC Ambri-Piotta; 3:1; 1:0|0:0|2:1;;;False;Pista Resega, Porza;7800
Sa;01.11.2014;19:45;EHC Biel;HC Davos; 2:4; 1:1|0:2|1:1;;;False;Eisstadion, Biel-Bienne;4963
Sa;01.11.2014;19:45;Genève-Servette HC;SC Bern; 3:5; 2:2|1:1|0:2;;;False;Les Vernets, Genève;6701
Sa;01.11.2014;19:45;Lausanne HC;ZSC Lions; 1:2; 0:0|1:1|0:0|0:1;OT;;False;P. de Malley, Lausanne;6884
Sa;01.11.2014;19:45;HC Ambri-Piotta;Fribourg-Gottéron; 4:3; 2:1|0:0|1:2|1:0;SO;;False;Stadio Valascia, Ambri;5672
Sa;01.11.2014;19:45;SC Rapperswil-Jona Lakers;Kloten Flyers; 2:3; 1:2|0:0|1:0|0:1;SO;;False;Diners Club Arena, Rapperswil;4211
Di;11.11.2014;19:45;EHC Biel;HC Lugano; 1:2; 0:1|1:0|0:1;;;False;Eisstadion, Biel-Bienne;4055
Di;11.11.2014;19:45;Lausanne HC;SC Rapperswil-Jona Lakers; 3:4; 0:2|2:1|1:0|0:1;SO;;False;P. de Malley, Lausanne;5927
Fr;14.11.2014;19:45;HC Ambri-Piotta;EHC Biel; 3:4; 2:1|0:0|1:2|0:1;SO;;False;Stadio Valascia, Ambri;4501
Fr;14.11.2014;19:45;Fribourg-Gottéron;Lausanne HC; 2:1; 0:1|0:0|2:0;;;False;BCF Arena, Fribourg;6351
Fr;14.11.2014;19:45;EV Zug;SC Bern; 3:1; 1:1|1:0|1:0;;;False;BOSSARD Arena, Zug;6927
Fr;14.11.2014;19:45;HC Lugano;Kloten Flyers; 5:2; 1:0|2:0|2:2;;;False;Pista Resega, Porza;5112
Fr;14.11.2014;19:45;SC Rapperswil-Jona Lakers;Genève-Servette HC; 2:5; 0:1|1:3|1:1;;;False;Diners Club Arena, Rapperswil;3897
Sa;15.11.2014;19:45;EHC Biel;EV Zug; 2:3; 1:0|0:1|1:1|0:1;OT;;False;Eisstadion, Biel-Bienne;4340
