Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Sa;10.12.2011;19:45;SC Rapperswil-Jona Lakers;ZSC Lions; 3:1; 1:0|0:1|2:0;;;False;Diners Club Arena;4011
Sa;10.12.2011;19:45;HC Lugano;Kloten Flyers; 4:3; 1:1|2:1|1:1;;;False;Resega Lugano;3941
Di;20.12.2011;19:45;SC Bern;HC Lugano; 2:3; 0:1|1:1|1:0|0:1;SO;;False;PostFinance Arena;15527
Di;20.12.2011;19:45;EHC Biel;HC Ambri-Piotta; 4:1; 0:1|0:0|4:0;;;False;Biel;4378
Di;20.12.2011;19:45;Kloten Flyers;Genève-Servette HC; 2:0; 0:0|1:0|1:0;;;False;Kolping Arena Kloten;4773
Di;20.12.2011;19:45;SCL Tigers;HC Davos; 3:4; 2:0|1:0|0:3|0:1;SO;;False;Ilfishalle Langnau;5204
Di;20.12.2011;19:45;ZSC Lions;Fribourg-Gottéron; 3:4; 1:1|1:0|1:2|0:1;SO;;False;asHallenstadion Zürich;7566
Di;20.12.2011;19:45;EV Zug;SC Rapperswil-Jona Lakers; 2:1; 0:0|1:0|0:1|1:0;OT;;False;Bossard Arena Zug;6024
Do;22.12.2011;19:45;HC Davos;EHC Biel; 3:1; 1:1|1:0|1:0;;;False;Vaillant Arena Davos;3171
Fr;23.12.2011;19:45;HC Ambri-Piotta;SC Bern; 4:3; 0:2|2:0|1:1|1:0;OT;;False;Ambri Valascia;3885
Fr;23.12.2011;19:45;Fribourg-Gottéron;Kloten Flyers; 4:3; 1:1|0:2|2:0|1:0;OT;;False;Fribourg BCF Arena;6800
Fr;23.12.2011;19:45;Genève-Servette HC;ZSC Lions; 3:4; 1:0|1:1|1:2|0:1;SO;;False;Les Vernets Genève;7031
Fr;23.12.2011;19:45;SC Rapperswil-Jona Lakers;SCL Tigers; 3:5; 2:2|1:0|0:3;;;False;Diners Club Arena;4623
Fr;23.12.2011;19:45;HC Lugano;EV Zug; 3:5; 0:1|0:2|3:2;;;False;Resega Lugano;3883
Mo;02.01.2012;15:45;SC Bern;Genève-Servette HC; 1:2; 0:0|0:1|1:1;;;False;PostFinance Arena;15977
Mo;02.01.2012;15:45;Fribourg-Gottéron;HC Lugano; 8:6; 3:1|1:4|4:1;;;False;Fribourg BCF Arena;6800
Mo;02.01.2012;15:45;SCL Tigers;EHC Biel; 2:3; 1:1|1:0|0:2;;;False;Ilfishalle Langnau;6058
Mo;02.01.2012;15:45;ZSC Lions;EV Zug; 2:1; 1:0|1:0|0:1;;;False;Hallenstadion Zürich;9070
Mo;02.01.2012;19:45;HC Ambri-Piotta;HC Davos; 2:3; 0:1|1:0|1:2;;;False;Ambri Valascia;4541
Di;03.01.2012;19:45;Kloten Flyers;SC Rapperswil-Jona Lakers; 6:2; 4:0|1:1|1:1;;;False;Kolping Arena Kloten;5364
Fr;06.01.2012;19:45;HC Lugano;SCL Tigers; 3:4; 0:1|3:0|0:2|0:1;OT;;False;Resega Lugano;3626
Fr;06.01.2012;19:45;HC Ambri-Piotta;EV Zug; 2:4; 0:2|0:1|2:1;;;False;Ambri Valascia;3609
Fr;06.01.2012;19:45;ZSC Lions;SC Rapperswil-Jona Lakers; 4:2; 1:0|1:1|2:1;;;False;Hallenstadion Zürich;7503
Fr;06.01.2012;19:55;Fribourg-Gottéron;SC Bern; 4:3; 1:0|1:1|2:2;;;False;Fribourg BCF Arena;6800
Sa;07.01.2012;19:45;Kloten Flyers;ZSC Lions; 2:4; 0:2|1:2|1:0;;;False;Kolping Arena Kloten;7459
Sa;07.01.2012;19:45;SC Rapperswil-Jona Lakers;HC Davos; 4:2; 1:0|3:2|0:0;;;False;Diners Club Arena;5424
Sa;07.01.2012;19:45;SCL Tigers;HC Ambri-Piotta; 3:2; 1:0|0:2|2:0;;;False;Ilfishalle Langnau;5353
Sa;07.01.2012;19:45;EV Zug;HC Lugano; 4:0; 1:0|3:0|0:0;;;False;Bossard Arena Zug;6650
Sa;07.01.2012;19:50;EHC Biel;Genève-Servette HC; 4:3; 3:0|0:2|1:1;;;False;Biel;5002
So;08.01.2012;15:45;SC Bern;EHC Biel; 5:1; 0:0|5:1|0:0;;;False;PostFinance Arena;17131
So;08.01.2012;15:45;HC Davos;Kloten Flyers; 4:3; 0:1|1:1|2:1|1:0;OT;;False;Vaillant Arena Davos;4832
Di;10.01.2012;19:45;EV Zug;HC Ambri-Piotta; 1:4; 1:2|0:1|0:1;;;False;Bossard Arena Zug;5872
Fr;13.01.2012;19:45;EHC Biel;Fribourg-Gottéron; 2:3; 0:2|0:1|2:0;;;False;Biel;5130
Fr;13.01.2012;19:45;SC Rapperswil-Jona Lakers;HC Ambri-Piotta; 5:3; 2:1|1:1|2:1;;;False;Diners Club Arena;4881
Fr;13.01.2012;19:45;SCL Tigers;SC Bern; 5:3; 1:1|2:1|2:1;;;False;Ilfishalle Langnau;5958
Fr;13.01.2012;19:45;EV Zug;Kloten Flyers; 4:1; 3:0|1:0|0:1;;;False;Bossard Arena Zug;6510
Sa;14.01.2012;19:45;HC Ambri-Piotta;Genève-Servette HC; 0:3; 0:0|0:1|0:2;;;False;Ambri Valascia;3124
Sa;14.01.2012;19:45;SC Bern;SC Rapperswil-Jona Lakers; 3:2; 1:1|1:1|1:0;;;False;PostFinance Arena;15843
Sa;14.01.2012;19:45;Fribourg-Gottéron;EV Zug; 2:4; 0:2|1:1|1:1;;;False;Fribourg BCF Arena;6800
Sa;14.01.2012;19:45;Kloten Flyers;SCL Tigers; 4:2; 2:0|0:0|2:2;;;False;Kolping Arena Kloten;5758
Sa;14.01.2012;19:45;HC Lugano;HC Davos; 1:3; 0:1|1:1|0:1;;;False;Resega Lugano;4109
So;15.01.2012;15:45;HC Davos;ZSC Lions; 4:1; 2:0|1:1|1:0;;;False;Vaillant Arena Davos;5095
So;15.01.2012;15:45;Genève-Servette HC;HC Lugano; 2:3; 1:0|0:2|1:1;;;False;Les Vernets Genève;7142
Di;17.01.2012;19:45;ZSC Lions;EHC Biel; 2:5; 2:1|0:2|0:2;;;False;Hallenstadion Zürich;6360
Fr;20.01.2012;19:45;HC Ambri-Piotta;Kloten Flyers; 0:3; 0:1|0:1|0:1;;;False;Ambri Valascia;2321
Fr;20.01.2012;19:45;SC Bern;ZSC Lions; 3:2; 1:0|2:1|0:1;;;False;PostFinance Arena;15231
Fr;20.01.2012;19:45;SCL Tigers;Fribourg-Gottéron; 2:5; 0:0|2:3|0:2;;;False;Ilfishalle Langnau;5575
Fr;20.01.2012;19:45;SC Rapperswil-Jona Lakers;HC Lugano; 4:2; 3:0|0:1|1:1;;;False;Diners Club Arena;4601
Sa;21.01.2012;19:45;Fribourg-Gottéron;SC Bern; 6:1; 2:0|3:1|1:0;;;False;Fribourg BCF Arena;6800
Sa;21.01.2012;19:45;Genève-Servette HC;SC Rapperswil-Jona Lakers; 4:1; 2:1|0:0|2:0;;;False;Les Vernets Genève;6918
Sa;21.01.2012;19:45;Kloten Flyers;HC Davos; 1:2; 0:0|0:0|1:2;;;False;Kolping Arena Kloten;7624
Sa;21.01.2012;19:45;HC Lugano;EHC Biel; 4:3; 1:1|2:1|0:1|1:0;SO;;False;Resega Lugano;3324
Sa;21.01.2012;19:45;ZSC Lions;SCL Tigers; 4:3; 1:1|0:2|2:0|1:0;SO;;False;Hallenstadion Zürich;7353
Sa;21.01.2012;19:45;EV Zug;HC Ambri-Piotta; 2:3; 0:2|0:0|2:0|0:1;OT;;False;Bossard Arena Zug;6410
So;22.01.2012;15:45;EHC Biel;EV Zug; 2:4; 1:2|1:1|0:1;;;False;Biel;4666
So;22.01.2012;15:45;HC Davos;Genève-Servette HC; 2:3; 0:0|1:2|1:0|0:1;SO;;False;Vaillant Arena Davos;3862
Di;24.01.2012;19:45;EHC Biel;ZSC Lions; 2:5; 0:1|1:1|1:3;;;False;Biel;5060
Di;24.01.2012;20:15;Genève-Servette HC;Fribourg-Gottéron; 3:1; 3:0|0:0|0:1;;;False;Les Vernets Genève;7146
