R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;ZSC Lions;50;192;3.84;41;0.82;21.35;295:47;05:54;6;0.12
2;Kloten Flyers;50;194;3.88;38;0.76;19.59;292:19;05:50;1;0.02
3;Lausanne HC;50;185;3.70;34;0.68;18.38;300:49;06:00;5;0.10
4;Fribourg-Gottéron;50;176;3.52;32;0.64;18.18;285:44;05:42;10;0.20
5;HC Davos;50;173;3.46;31;0.62;17.92;266:40;05:20;3;0.06
6;HC Lugano;50;230;4.60;41;0.82;17.83;355:52;07:07;3;0.06
7;SC Bern;50;191;3.82;34;0.68;17.80;301:10;06:01;3;0.06
8;Genève-Servette HC;50;200;4.00;34;0.68;17;311:53;06:14;6;0.12
;Durchschnitt;50;197;3.94;33;0.66;16.75;312:27;06:14;5;0.10
9;HC Ambri-Piotta;50;219;4.38;36;0.72;16.44;353:51;07:04;5;0.10
10;EHC Biel;50;197;3.94;30;0.60;15.23;304:24;06:05;8;0.16
11;EV Zug;50;207;4.14;30;0.60;14.49;344:23;06:53;4;0.08
12;SC Rapperswil-Jona Lakers;50;208;4.16;23;0.46;11.06;336:41;06:44;7;0.14
