R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;EV Zug;50;221;4.42;50;1.00;22.62;342:16;06:50;4;0.08
2;HC Lugano;50;212;4.24;44;0.88;20.75;335:22;06:42;7;0.14
3;ZSC Lions;50;227;4.54;45;0.90;19.82;349:38;06:59;10;0.20
4;Kloten Flyers;50;236;4.72;46;0.92;19.49;361:49;07:14;2;0.04
5;HC Davos;50;230;4.60;43;0.86;18.70;345:46;06:54;1;0.02
6;SC Rapperswil-Jona Lakers;50;196;3.92;36;0.72;18.37;298:32;05:58;6;0.12
;Durchschnitt;50;225;4.50;40;0.80;17.78;350:43;07:00;5;0.10
7;SCL Tigers;50;237;4.74;42;0.84;17.72;382:57;07:39;10;0.20
8;SC Bern;50;198;3.96;34;0.68;17.17;321:27;06:25;3;0.06
9;EHC Biel;50;259;5.18;44;0.88;16.99;398:40;07:58;5;0.10
10;Genève-Servette HC;50;250;5.00;40;0.80;16;381:57;07:38;4;0.08
11;Fribourg-Gottéron;50;219;4.38;35;0.70;15.98;329:29;06:35;8;0.16
12;HC Ambri-Piotta;50;217;4.34;31;0.62;14.29;360:50;07:13;9;0.18
