R;Spieler;Team;Pos;GP;PS;PSG;PSM;PS%;GWG PS
1;Matthews Auston;ZSC Lions;Stürmer;4;2;0;2;0;0
2;Klasen Linus;HC Lugano;Stürmer;15;2;2;0;100;1
3;Bouchard Pierre-Marc;EV Zug;Stürmer;4;2;1;1;50;0
4;Suter Pius;ZSC Lions;Stürmer;4;1;0;1;0;0
5;Shannon Ryan;ZSC Lions;Stürmer;3;1;0;1;0;0
6;Ruefenacht Thomas;SC Bern;Stürmer;14;1;0;1;0;0
7;Pettersson Fredrik;HC Lugano;Stürmer;10;1;1;0;100;0
8;Nilsson Robert;ZSC Lions;Stürmer;4;1;0;1;0;0
9;Moser Simon;SC Bern;Stürmer;14;1;0;1;0;0
10;Martschini Lino;EV Zug;Stürmer;4;1;0;1;0;0
11;Martensson Tony;HC Lugano;Stürmer;15;1;0;1;0;0
12;Krueger Justin;SC Bern;Verteidiger;13;1;0;1;0;0
13;Immonen Jarkko;EV Zug;Stürmer;4;1;0;1;0;0
14;Holden Josh;EV Zug;Stürmer;4;1;1;0;100;0
15;Hischier Luca;SC Bern;Stürmer;9;1;0;1;0;0
16;Fazzini Luca;HC Lugano;Stürmer;14;1;0;1;0;0
17;Conacher Cory;SC Bern;Stürmer;14;1;1;0;100;0
18;Bürgler Dario;EV Zug;Stürmer;4;1;0;1;0;0
19;Brunner Damien;HC Lugano;Stürmer;14;1;0;1;0;0
20;Bodenmann Simon;SC Bern;Stürmer;13;1;1;0;100;1
21;Bergeron Marc-André;ZSC Lions;Verteidiger;3;1;1;0;100;0
22;Zangger Sandro;EV Zug;Stürmer;4;0;0;0;-;0
23;Zanatta Luca;Genève-Servette HC;Verteidiger;1;0;0;0;-;0
24;Wollgast Nigel;HC Lugano;Verteidiger;1;0;0;0;-;0
25;Wieser Marc;HC Davos;Stürmer;9;0;0;0;-;0
26;Wieser Dino;HC Davos;Stürmer;9;0;0;0;-;0
27;Wiedmer Sandro;SC Bern;Verteidiger;3;0;0;0;-;0
28;Wick Roman;ZSC Lions;Stürmer;4;0;0;0;-;0
29;Wick Jeremy;Genève-Servette HC;Stürmer;2;0;0;0;-;0
30;Walser Samuel;HC Davos;Stürmer;8;0;0;0;-;0
31;Walker Julian;HC Lugano;Stürmer;15;0;0;0;-;0
32;Vukovic Daniel;Genève-Servette HC;Verteidiger;11;0;0;0;-;0
33;Von Gunten Patrick;Kloten Flyers;Verteidiger;4;0;0;0;-;0
34;Vauclair Tristan;Fribourg-Gottéron;Stürmer;2;0;0;0;-;0
35;Vauclair Julien;HC Lugano;Verteidiger;12;0;0;0;-;0
36;Untersander Ramon;SC Bern;Verteidiger;14;0;0;0;-;0
37;Ulmer Stefan;HC Lugano;Verteidiger;12;0;0;0;-;0
38;Trachsler Morris;ZSC Lions;Stürmer;4;0;0;0;-;0
39;Traber Tim;Genève-Servette HC;Stürmer;11;0;0;0;-;0
40;Suri Reto;EV Zug;Stürmer;4;0;0;0;-;0
41;Stoop Lukas;Kloten Flyers;Verteidiger;4;0;0;0;-;0
42;Stapleton Tim;HC Lugano;Stürmer;5;0;0;0;-;0
43;Sprunger Julien;Fribourg-Gottéron;Stürmer;5;0;0;0;-;0
44;Sondell Daniel;EV Zug;Verteidiger;2;0;0;0;-;0
45;Smith Trevor;SC Bern;Stürmer;1;0;0;0;-;0
46;Slater Jim;Genève-Servette HC;Stürmer;10;0;0;0;-;0
47;Simion Dario;HC Davos;Stürmer;9;0;0;0;-;0
48;Simek Juraj;Genève-Servette HC;Stürmer;10;0;0;0;-;0
49;Siegenthaler Jonas;ZSC Lions;Verteidiger;4;0;0;0;-;0
50;Sieber Lukas;EV Zug;Stürmer;2;0;0;0;-;0
