R;Spieler;Team;Pos;GP;PS;PSG;PSM;PS%;GWG PS
130;Hagman Niklas;Fribourg-Gottéron;Stürmer;10;0;0;0;-;0
131;Hächler Cedric;ZSC Lions;Verteidiger;3;0;0;0;-;0
132;Guggisberg Peter;HC Davos;Stürmer;2;0;0;0;-;0
133;Guerra Samuel;HC Davos;Verteidiger;6;0;0;0;-;0
134;Grossmann Robin;HC Davos;Verteidiger;6;0;0;0;-;0
135;Grieder Marc;HC Ambri-Piotta;Verteidiger;3;0;0;0;-;0
136;Grassi Daniele;HC Ambri-Piotta;Stürmer;4;0;0;0;-;0
137;Gobbi John;Lausanne HC;Verteidiger;7;0;0;0;-;0
138;Giroux Alexandre;HC Ambri-Piotta;Stürmer;4;0;0;0;-;0
139;Girardin Lionel;Genève-Servette HC;Verteidiger;11;0;0;0;-;0
140;Gerber Roland;Genève-Servette HC;Stürmer;12;0;0;0;-;0
141;Geering Patrick;ZSC Lions;Verteidiger;16;0;0;0;-;0
142;Gautschi Marc;HC Ambri-Piotta;Verteidiger;4;0;0;0;-;0
143;Gailland Jérémy;Lausanne HC;Stürmer;4;0;0;0;-;0
144;Froidevaux Etienne;Lausanne HC;Stürmer;7;0;0;0;-;0
145;Fritsche John;Fribourg-Gottéron;Stürmer;10;0;0;0;-;0
146;Fritsche Dan;ZSC Lions;Stürmer;18;0;0;0;-;0
147;Frick Lukas;Kloten Flyers;Verteidiger;16;0;0;0;-;0
148;Forster Beat;HC Davos;Verteidiger;6;0;0;0;-;0
149;Fischer Simon;Lausanne HC;Stürmer;7;0;0;0;-;0
150;Fischer Jannik;Lausanne HC;Verteidiger;7;0;0;0;-;0
151;El Assaoui Sami;HC Ambri-Piotta;Verteidiger;3;0;0;0;-;0
152;Dupont Micki;Kloten Flyers;Verteidiger;16;0;0;0;-;0
153;Duca Paolo;HC Ambri-Piotta;Stürmer;4;0;0;0;-;0
154;Dubé Christian;Fribourg-Gottéron;Stürmer;10;0;0;0;-;0
155;Deruns Thomas;Lausanne HC;Stürmer;7;0;0;0;-;0
156;Dal Pian Giacomo;HC Lugano;Stürmer;2;0;0;0;-;0
157;Cunti Luca;ZSC Lions;Stürmer;18;0;0;0;-;0
158;Corvi Enzo;HC Davos;Stürmer;6;0;0;0;-;0
159;Conz Florian;Lausanne HC;Stürmer;7;0;0;0;-;0
160;Conne Flavien;HC Lugano;Stürmer;5;0;0;0;-;0
161;Chavaillaz Benjamin;HC Ambri-Piotta;Verteidiger;4;0;0;0;-;0
162;Camperchioli Luca;HC Davos;Verteidiger;2;0;0;0;-;0
163;Bykov Andrey;Fribourg-Gottéron;Stürmer;10;0;0;0;-;0
164;Burki Codey;Lausanne HC;Stürmer;1;0;0;0;-;0
165;Bürgler Dario;HC Davos;Stürmer;6;0;0;0;-;0
166;Bühler Cyrill;Kloten Flyers;Stürmer;16;0;0;0;-;0
167;Bodenmann Simon;Kloten Flyers;Stürmer;13;0;0;0;-;0
168;Blum Eric-Ray;Kloten Flyers;Verteidiger;15;0;0;0;-;0
169;Blindenbacher Severin;ZSC Lions;Verteidiger;18;0;0;0;-;0
170;Blatter Florian;HC Lugano;Verteidiger;4;0;0;0;-;0
171;Birbaum Alain;Fribourg-Gottéron;Verteidiger;6;0;0;0;-;0
172;Bieber Matthias;Kloten Flyers;Stürmer;16;0;0;0;-;0
173;Bianchi Elias;HC Ambri-Piotta;Stürmer;4;0;0;0;-;0
