Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Mi;12.09.2012;19:45;ZSC Lions;SCL Tigers; 3:1; 0:0|2:0|1:1;;;False;Hallenstadion AG, Zürich;7614
Do;13.09.2012;19:45;EV Zug;HC Lugano; 0:3; 0:0|0:1|0:2;;;False;BOSSARD Arena, Zug;6057
Fr;14.09.2012;19:45;Fribourg-Gottéron;EHC Biel; 4:1; 0:0|2:1|2:0;;;False;P. St-Léonard BCF Arena, Fribourg;6335
Fr;14.09.2012;19:45;HC Davos;Kloten Flyers; 2:3; 1:0|0:1|1:1|0:1;SO;;False;Vaillant Arena, Davos;4195
Fr;14.09.2012;19:45;ZSC Lions;SC Rapperswil-Jona Lakers; 2:3; 1:0|0:0|1:3;;;False;Hallenstadion AG, Zürich;7530
Fr;14.09.2012;19:54;Genève-Servette HC;SC Bern; 3:1; 3:0|0:0|0:1;;;False;Les Vernets, Genève;6700
Sa;15.09.2012;19:45;SC Rapperswil-Jona Lakers;HC Davos; 3:2; 1:1|1:1|0:0|1:0;OT;;False;Diners Club Arena, Rapperswil;5711
Sa;15.09.2012;19:45;SC Bern;Fribourg-Gottéron; 4:1; 1:0|0:0|3:1;;;False;Postfinance Arena, Bern;16041
Sa;15.09.2012;19:45;EHC Biel;Genève-Servette HC; 1:2; 1:0|0:1|0:1;;;False;Eisstadion, Biel-Bienne;4459
Sa;15.09.2012;19:45;HC Lugano;SCL Tigers; 2:3; 1:1|0:0|1:1|0:1;SO;;False;Pista Resega, Porza;5293
Sa;15.09.2012;19:45;Kloten Flyers;ZSC Lions; 3:4; 0:0|3:3|0:1;;;False;Kolping Arena, Kloten;6517
Sa;15.09.2012;19:45;HC Ambri-Piotta;EV Zug; 5:2; 2:1|1:0|2:1;;;False;Stadio Valascia, Ambri;6132
Do;20.09.2012;19:45;ZSC Lions;SC Bern; 2:3; 2:1|0:2|0:0;;;False;Hallenstadion AG, Zürich;7574
Fr;21.09.2012;19:45;SC Bern;EHC Biel; 2:3; 0:1|1:0|1:1|0:1;SO;;False;Postfinance Arena, Bern;15213
Fr;21.09.2012;19:45;Kloten Flyers;HC Davos; 4:1; 0:0|1:1|3:0;;;False;Kolping Arena, Kloten;5577
Fr;21.09.2012;19:45;SC Rapperswil-Jona Lakers;Fribourg-Gottéron; 2:3; 0:2|0:0|2:0|0:1;SO;;False;Diners Club Arena, Rapperswil;4217
Fr;21.09.2012;19:45;HC Ambri-Piotta;Genève-Servette HC; 1:4; 0:0|0:3|1:1;;;False;Stadio Valascia, Ambri;5193
Fr;21.09.2012;19:45;HC Lugano;ZSC Lions; 5:2; 3:0|1:2|1:0;;;False;Pista Resega, Porza;4039
Sa;22.09.2012;19:45;EV Zug;HC Ambri-Piotta; 6:3; 3:0|1:3|2:0;;;False;BOSSARD Arena, Zug;7015
Sa;22.09.2012;19:45;Fribourg-Gottéron;Kloten Flyers; 5:1; 1:0|3:0|1:1;;;False;P. St-Léonard BCF Arena, Fribourg;6112
Sa;22.09.2012;19:45;HC Davos;SC Rapperswil-Jona Lakers; 9:2; 3:1|3:1|3:0;;;False;Vaillant Arena, Davos;4884
Sa;22.09.2012;19:45;EHC Biel;HC Lugano; 4:3; 1:1|0:2|3:0;;;False;Eisstadion, Biel-Bienne;4341
Sa;22.09.2012;19:45;Genève-Servette HC;SCL Tigers; 2:1; 2:0|0:1|0:0;;;False;Les Vernets, Genève;6853
Di;25.09.2012;19:45;EHC Biel;HC Ambri-Piotta; 4:1; 2:0|2:1|0:0;;;False;Eisstadion, Biel-Bienne;4363
Di;25.09.2012;19:45;Fribourg-Gottéron;Genève-Servette HC; 3:4; 0:1|3:1|0:2;;;False;P. St-Léonard BCF Arena, Fribourg;6074
Di;25.09.2012;19:45;HC Lugano;Kloten Flyers; 3:2; 0:1|1:0|1:1|1:0;SO;;False;Pista Resega, Porza;3820
Di;25.09.2012;19:45;SC Bern;SC Rapperswil-Jona Lakers; 1:3; 1:1|0:2|0:0;;;False;Postfinance Arena, Bern;15431
Di;25.09.2012;19:45;HC Davos;SCL Tigers; 3:2; 0:0|1:1|1:1|1:0;SO;;False;Vaillant Arena, Davos;3525
Di;25.09.2012;19:45;EV Zug;ZSC Lions; 1:4; 0:0|1:2|0:2;;;False;BOSSARD Arena, Zug;5016
Fr;28.09.2012;19:45;Kloten Flyers;SC Bern; 3:2; 0:0|2:2|0:0|1:0;SO;;False;Kolping Arena, Kloten;5158
Fr;28.09.2012;19:45;HC Lugano;HC Davos; 4:2; 1:0|0:1|3:1;;;False;Pista Resega, Porza;4727
Fr;28.09.2012;19:45;HC Ambri-Piotta;Fribourg-Gottéron; 2:3; 1:1|1:1|0:0|0:1;SO;;False;Stadio Valascia, Ambri;4323
Fr;28.09.2012;19:45;SC Rapperswil-Jona Lakers;ZSC Lions; 0:4; 0:2|0:1|0:1;;;False;Diners Club Arena, Rapperswil;5161
Fr;28.09.2012;19:45;Genève-Servette HC;EV Zug; 5:2; 2:0|1:1|2:1;;;False;Les Vernets, Genève;6839
Sa;29.09.2012;19:45;ZSC Lions;HC Ambri-Piotta; 3:2; 1:1|1:0|1:1;;;False;Hallenstadion AG, Zürich;10313
Sa;29.09.2012;19:45;HC Davos;Genève-Servette HC; 0:3; 0:1|0:1|0:1;;;False;Vaillant Arena, Davos;4951
Sa;29.09.2012;19:45;EV Zug;Kloten Flyers; 7:2; 1:1|3:1|3:0;;;False;BOSSARD Arena, Zug;4823
Sa;29.09.2012;19:45;EHC Biel;SC Rapperswil-Jona Lakers; 3:6; 0:1|1:2|2:3;;;False;Eisstadion, Biel-Bienne;4582
Sa;29.09.2012;19:45;SC Bern;HC Lugano; 5:0; 3:0|1:0|1:0;;;False;Postfinance Arena, Bern;16165
Sa;29.09.2012;19:45;Fribourg-Gottéron;SCL Tigers; 2:1; 1:0|0:1|0:0|1:0;SO;;False;P. St-Léonard BCF Arena, Fribourg;6700
Di;02.10.2012;19:45;Fribourg-Gottéron;SC Bern; 3:1; 2:1|0:0|1:0;;;False;BCF Arena, Fribourg;6280
Di;02.10.2012;19:45;ZSC Lions;HC Davos; 2:1; 1:1|1:0|0:0;;;False;Hallenstadion AG, Zürich;9248
Di;02.10.2012;19:45;HC Ambri-Piotta;Kloten Flyers; 1:4; 0:2|1:0|0:2;;;False;Stadio Valascia, Ambri;3123
