Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Fr;10.09.2010;19:45;HC Ambri-Piotta;SC Rapperswil-Jona Lakers; 5:6; 3:1|1:1|1:3|0:1;OT;;False;Ambri Valascia;6325
Fr;10.09.2010;19:45;HC Davos;SCL Tigers; 3:0; 2:0|1:0|0:0;;;False;Vaillant Arena Davos;4519
Fr;10.09.2010;19:45;Fribourg-Gottéron;EHC Biel; 5:7; 5:4|0:2|0:1;;;False;Fribourg BCF Arena;6900
Fr;10.09.2010;19:45;Kloten Flyers;Genève-Servette HC; 1:0; 0:0|0:0|1:0;;;False;Kolping Arena Kloten;5001
Fr;10.09.2010;19:45;HC Lugano;ZSC Lions; 4:3; 3:1|0:1|1:1;;;False;Lugano;4150
Fr;10.09.2010;19:45;EV Zug;SC Bern; 4:1; 2:0|2:0|0:1;;;False;Bossard Arena Zug;7015
Sa;11.09.2010;19:45;EHC Biel;Kloten Flyers; 1:5; 0:1|1:3|0:1;;;False;Biel;4412
Sa;11.09.2010;19:45;SC Bern;HC Ambri-Piotta; 6:2; 2:0|3:1|1:1;;;False;PostFinance Arena;15781
Sa;11.09.2010;19:45;Genève-Servette HC;HC Lugano; 3:2; 1:0|1:0|1:2;;;False;Les Vernets Genève;6453
Sa;11.09.2010;19:45;SC Rapperswil-Jona Lakers;EV Zug; 4:6; 1:2|2:1|1:3;;;False;Diners Club Arena;4421
Sa;11.09.2010;19:45;SCL Tigers;Fribourg-Gottéron; 3:4; 1:1|1:2|1:0|0:1;SO;;False;Ilfishalle Langnau;5216
Sa;11.09.2010;19:45;ZSC Lions;HC Davos; 1:4; 0:1|1:2|0:1;;;False;Hallenstadion Zürich;8212
Fr;17.09.2010;19:45;HC Ambri-Piotta;HC Davos; 3:4; 1:1|2:2|0:1;;;False;Ambri Valascia;4372
Fr;17.09.2010;19:45;EHC Biel;HC Lugano; 5:0; 2:0|1:0|2:0;;;False;Eisstadion Biel;4115
Fr;17.09.2010;19:45;SC Bern;Kloten Flyers; 0:3; 0:1|0:0|0:2;;;False;PostFinance Arena;15001
Fr;17.09.2010;19:45;Fribourg-Gottéron;SC Rapperswil-Jona Lakers; 8:3; 2:1|3:1|3:1;;;False;Fribourg, BCF Arena;6400
