Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Sa;02.11.2013;19:45;EV Zug;ZSC Lions; 0:3; 0:2|0:0|0:1;;;False;BOSSARD Arena, Zug;7015
Sa;02.11.2013;19:46;Genève-Servette HC;Fribourg-Gottéron; 3:4; 2:0|1:2|0:2;;;False;Les Vernets, Genève;7135
Di;12.11.2013;19:45;ZSC Lions;Fribourg-Gottéron; 2:4; 1:0|0:2|1:2;;;False;Hallenstadion AG, Zürich;8653
Di;12.11.2013;19:45;Genève-Servette HC;HC Ambri-Piotta; 4:3; 1:0|1:1|1:2|1:0;SO;;False;Les Vernets, Genève;6399
Do;14.11.2013;19:45;EV Zug;HC Lugano; 5:4; 2:2|2:2|0:0|1:0;OT;;False;BOSSARD Arena, Zug;6112
Fr;15.11.2013;19:45;HC Ambri-Piotta;EHC Biel; 4:1; 2:0|2:1|0:0;;;False;Stadio Valascia, Ambri;5104
Fr;15.11.2013;19:45;SC Bern;SC Rapperswil-Jona Lakers; 5:4; 3:1|0:1|1:2|1:0;SO;;False;PostFinance-Arena, Bern;16134
Fr;15.11.2013;19:45;Fribourg-Gottéron;HC Davos; 5:3; 1:1|3:1|1:1;;;False;BCF Arena, Fribourg;6700
Fr;15.11.2013;19:45;HC Lugano;Kloten Flyers; 1:2; 0:0|0:2|1:0;;;False;Pista Resega, Porza;4575
Fr;15.11.2013;19:45;Lausanne HC;ZSC Lions; 4:3; 2:0|1:1|0:2|1:0;SO;;False;P. de Malley, Lausanne;6005
Fr;15.11.2013;19:46;Genève-Servette HC;EV Zug; 3:2; 2:0|0:2|0:0|1:0;SO;;False;Les Vernets, Genève;6694
Sa;16.11.2013;19:45;EHC Biel;Fribourg-Gottéron; 1:2; 1:0|0:1|0:1;;;False;Eisstadion, Biel-Bienne;5181
Sa;16.11.2013;19:45;HC Davos;Lausanne HC; 4:2; 1:1|0:0|3:1;;;False;Vaillant Arena, Davos;4214
Sa;16.11.2013;19:45;Kloten Flyers;SC Bern; 2:1; 0:1|1:0|0:0|1:0;OT;;False;Kolping Arena, Kloten;6523
Sa;16.11.2013;19:45;SC Rapperswil-Jona Lakers;Genève-Servette HC; 5:4; 2:0|1:2|1:2|1:0;OT;;False;Diners Club Arena, Rapperswil;4097
Sa;16.11.2013;19:45;ZSC Lions;HC Ambri-Piotta; 4:1; 1:0|2:1|1:0;;;False;Hallenstadion AG, Zürich;9559
Mo;18.11.2013;20:30;HC Ambri-Piotta;HC Lugano; 1:2; 1:1|0:0|0:1;;;False;Stadio Valascia, Ambri;5637
Di;19.11.2013;19:45;SC Bern;Genève-Servette HC; 3:4; 1:0|0:0|2:3|0:1;OT;;False;PostFinance-Arena, Bern;15581
Di;19.11.2013;19:45;EHC Biel;EV Zug; 2:1; 0:1|1:0|0:0|1:0;SO;;False;Eisstadion, Biel-Bienne;3969
Di;19.11.2013;19:45;HC Davos;ZSC Lions; 2:1; 0:0|1:1|1:0;;;False;Vaillant Arena, Davos;3476
Di;19.11.2013;19:45;Fribourg-Gottéron;Kloten Flyers; 6:3; 2:0|1:1|3:2;;;False;BCF Arena, Fribourg;6261
Di;19.11.2013;19:45;Lausanne HC;SC Rapperswil-Jona Lakers; 2:1; 0:0|1:1|1:0;;;False;P. de Malley, Lausanne;5205
