R;Team;GP;GF;SOG;S%;SOG/GP
1;EHC Biel;50;128;1'741;7.35;35
2;ZSC Lions;50;173;1'712;10.11;34
3;SC Bern;50;152;1'702;8.93;34
4;EV Zug;50;161;1'667;9.66;33
5;Kloten Flyers;50;154;1'657;9.29;33
6;Genève-Servette HC;50;160;1'594;10.04;32
;Durchschnitt;50;151;1'576;9.58;32
7;Lausanne HC;50;123;1'553;7.92;31
8;HC Lugano;50;157;1'518;10.34;30
9;HC Ambri-Piotta;50;144;1'483;9.71;30
10;HC Davos;50;181;1'459;12.41;29
11;SCL Tigers;50;135;1'436;9.40;29
12;Fribourg-Gottéron;50;148;1'399;10.58;28
