R;Team;GP;GF;SOG;S%;SOG/GP
1;ZSC Lions;50;176;1'671;10.53;33
2;HC Lugano;50;175;1'608;10.88;32
3;Fribourg-Gottéron;50;154;1'550;9.94;31
4;EV Zug;50;171;1'524;11.22;30
5;SCL Tigers;50;170;1'497;11.36;30
6;SC Bern;50;187;1'459;12.82;29
7;Kloten Flyers;50;174;1'448;12.02;29
;Durchschnitt;50;162;1'405;11.53;28
8;HC Davos;50;184;1'372;13.41;27
9;HC Ambri-Piotta;50;129;1'341;9.62;27
10;SC Rapperswil-Jona Lakers;50;143;1'325;10.79;26
11;EHC Biel;50;126;1'126;11.19;23
12;Genève-Servette HC;50;157;942;16.67;19
