R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;ZSC Lions;50;32;1;0;6;2;9;167;111;56;106
2;Fribourg-Gottéron;50;25;2;2;3;0;18;151;147;4;86
3;Kloten Flyers;50;22;4;5;0;1;18;147;121;26;85
4;Genève-Servette HC;50;21;2;5;1;5;16;158;133;25;83
5;HC Lugano;50;23;2;3;1;3;18;142;114;28;83
6;HC Davos;50;22;1;5;1;1;20;151;133;18;80
7;HC Ambri-Piotta;50;22;1;3;3;1;20;126;123;3;78
8;Lausanne HC;50;20;2;2;3;3;20;104;115;-11;74
9;SC Bern;50;19;3;1;2;3;22;126;129;-3;70
10;EV Zug;50;15;5;1;7;2;20;132;156;-24;66
11;EHC Biel;50;11;1;6;2;1;29;115;154;-39;50
12;SC Rapperswil-Jona Lakers;50;9;1;1;5;3;31;117;200;-83;39
