R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;Fribourg-Gottéron;50;24;4;7;4;1;10;163;123;40;99
2;SC Bern;50;27;1;2;4;1;15;169;117;52;92
3;EV Zug;50;26;0;3;4;3;14;172;154;18;91
4;ZSC Lions;50;24;5;2;2;1;16;152;131;21;89
5;HC Davos;50;22;1;3;4;3;17;170;152;18;81
6;HC Lugano;50;21;3;2;2;5;17;163;139;24;80
7;Genève-Servette HC;50;23;3;1;1;2;20;146;139;7;80
8;EHC Biel;50;19;1;4;3;2;21;160;161;-1;72
9;Kloten Flyers;50;16;3;5;4;1;21;151;137;14;69
10;HC Ambri-Piotta;50;14;0;4;2;1;29;128;178;-50;53
11;SC Rapperswil-Jona Lakers;50;13;2;2;2;4;27;139;207;-68;53
12;SCL Tigers;50;10;1;2;5;0;32;117;192;-75;41
