R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;SC Bern;50;30;4;0;2;3;11;187;136;51;103
2;ZSC Lions;50;26;3;5;0;3;13;176;149;27;97
3;Kloten Flyers;50;27;3;3;2;1;14;174;130;44;96
4;HC Davos;50;25;3;3;3;2;14;184;135;49;92
5;HC Lugano;50;19;4;4;5;2;16;175;156;19;80
6;Genève-Servette HC;50;22;5;0;2;0;21;157;140;17;78
7;Fribourg-Gottéron;50;19;3;4;1;3;20;154;143;11;75
8;EV Zug;50;20;1;2;2;3;22;171;166;5;71
9;SCL Tigers;50;19;2;3;1;1;24;170;180;-10;69
10;SC Rapperswil-Jona Lakers;50;14;0;1;2;3;30;143;208;-65;49
11;HC Ambri-Piotta;50;12;0;1;2;6;29;129;190;-61;46
12;EHC Biel;50;11;1;1;5;2;30;126;213;-87;44
