R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Klasen Linus;HC Lugano;Stürmer;15;5;52;9.62;3.47
2;Conacher Cory;SC Bern;Stürmer;14;5;47;10.64;3.36
3;Fransson Johan;Genève-Servette HC;Verteidiger;11;0;46;0;4.18
4;Brunner Damien;HC Lugano;Stürmer;14;7;46;15.22;3.29
5;Martensson Tony;HC Lugano;Stürmer;15;8;42;19.05;2.80
6;Lapierre Maxim;HC Lugano;Stürmer;15;1;41;2.44;2.73
7;Ebbett Andrew;SC Bern;Stürmer;14;5;40;12.5;2.86
8;Ruefenacht Thomas;SC Bern;Stürmer;14;3;39;7.69;2.79
9;Romy Kevin;Genève-Servette HC;Stürmer;11;5;38;13.16;3.45
10;Bodenmann Simon;SC Bern;Stürmer;13;2;35;5.71;2.69
11;Roy Derek;SC Bern;Stürmer;13;3;34;8.82;2.62
12;Pettersson Fredrik;HC Lugano;Stürmer;10;2;34;5.88;3.40
13;Lombardi Matthew;Genève-Servette HC;Stürmer;11;1;33;3.03;3.00
14;Hofmann Gregory;HC Lugano;Stürmer;13;4;32;12.5;2.46
15;Untersander Ramon;SC Bern;Verteidiger;14;3;29;10.34;2.07
16;Moser Simon;SC Bern;Stürmer;14;2;29;6.90;2.07
17;D'Agostini Matt;Genève-Servette HC;Stürmer;7;3;29;10.34;4.14
18;Bertaggia Alessio;HC Lugano;Stürmer;15;2;29;6.90;1.93
19;Ambühl Andres;HC Davos;Stürmer;9;6;28;21.43;3.11
20;Pedretti Marco;Genève-Servette HC;Stürmer;11;1;27;3.70;2.45
21;Loeffel Romain;Genève-Servette HC;Verteidiger;11;3;27;11.11;2.45
22;Lindgren Perttu;HC Davos;Stürmer;9;7;27;25.93;3.00
23;Berger Alain;SC Bern;Stürmer;14;3;26;11.54;1.86
24;Chiesa Alessandro;HC Lugano;Verteidiger;15;0;25;0;1.67
25;Furrer Philippe;HC Lugano;Verteidiger;15;2;24;8.33;1.60
26;Blum Eric-Ray;SC Bern;Verteidiger;10;2;24;8.33;2.40
27;Bezina Goran;Genève-Servette HC;Verteidiger;11;0;24;0;2.18
28;Walker Julian;HC Lugano;Stürmer;15;1;23;4.35;1.53
29;Simek Juraj;Genève-Servette HC;Stürmer;10;1;23;4.35;2.30
30;Scherwey Tristan;SC Bern;Stürmer;14;5;23;21.74;1.64
31;Helbling Timo;SC Bern;Verteidiger;13;2;22;9.09;1.69
32;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;5;1;21;4.76;4.20
33;Krueger Justin;SC Bern;Verteidiger;13;1;21;4.76;1.62
34;Wieser Marc;HC Davos;Stürmer;9;4;20;20;2.22
35;Vukovic Daniel;Genève-Servette HC;Verteidiger;11;1;20;5;1.82
36;Du Bois Felicien;HC Davos;Verteidiger;9;0;20;0;2.22
37;Mauldin Greg;Fribourg-Gottéron;Stürmer;5;1;19;5.26;3.80
38;Setoguchi Devin;HC Davos;Stürmer;7;5;18;27.78;2.57
39;Randegger Flurin;SC Bern;Verteidiger;11;1;17;5.88;1.55
40;Genoway Colby;Fribourg-Gottéron;Stürmer;5;2;17;11.76;3.40
41;Slater Jim;Genève-Servette HC;Stürmer;10;3;16;18.75;1.60
42;Plüss Martin;SC Bern;Stürmer;11;0;16;0;1.45
