R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Rüthemann Ivo;SC Bern;Stürmer;15;7;60;11.67;4.00
2;Salmelainen Tony;Genève-Servette HC;Stürmer;18;12;55;21.82;3.06
3;Kolnik Juraj;Genève-Servette HC;Stürmer;16;6;54;11.11;3.38
4;Brunner Damien;EV Zug;Stürmer;13;5;54;9.26;4.15
5;Holden Josh;EV Zug;Stürmer;13;5;53;9.43;4.08
6;Deruns Thomas;Genève-Servette HC;Stürmer;20;10;52;19.23;2.60
7;Gobbi John;Genève-Servette HC;Verteidiger;20;2;47;4.26;2.35
8;Dupont Micki;EV Zug;Verteidiger;11;1;46;2.17;4.18
9;Schnyder Fabian;EV Zug;Stürmer;13;5;44;11.36;3.38
10;Josi Roman;SC Bern;Verteidiger;15;6;42;14.29;2.80
11;Bezina Goran;Genève-Servette HC;Verteidiger;20;4;42;9.52;2.10
12;Du Bois Felicien;Kloten Flyers;Verteidiger;10;3;39;7.69;3.90
13;Wick Roman;Kloten Flyers;Stürmer;10;4;36;11.11;3.60
14;Rubin Daniel;Genève-Servette HC;Stürmer;20;5;36;13.89;1.80
15;McTavish Dale;EV Zug;Stürmer;12;6;35;17.14;2.92
16;Toms Jeff;Genève-Servette HC;Stürmer;18;5;32;15.62;1.78
17;Plüss Martin;SC Bern;Stürmer;15;3;31;9.68;2.07
18;Mowers Mark;Fribourg-Gottéron;Stürmer;7;3;31;9.68;4.43
19;Trachsler Morris;Genève-Servette HC;Stürmer;20;4;30;13.33;1.50
20;Vigier Jean-Pierre;SC Bern;Stürmer;14;7;29;24.14;2.07
21;Rintanen Kimmo;Kloten Flyers;Stürmer;10;5;29;17.24;2.90
22;Suri Reto;Genève-Servette HC;Stürmer;20;5;28;17.86;1.40
23;McLean Brett;SC Bern;Stürmer;15;5;28;17.86;1.87
24;Down Blaine;ZSC Lions;Stürmer;7;2;27;7.41;3.86
25;Diaz Raphael;EV Zug;Verteidiger;13;1;27;3.70;2.08
26;Reichert Marc;SC Bern;Stürmer;15;4;26;15.38;1.73
27;Widing Daniel;HC Davos;Stürmer;6;2;25;8;4.17
28;Rivera Christopher;Genève-Servette HC;Stürmer;20;2;24;8.33;1.20
29;Monnet Thibaut;ZSC Lions;Stürmer;7;4;24;16.67;3.43
30;Di Pietro Paul;EV Zug;Stürmer;13;3;24;12.5;1.85
31;Jenni Marcel;Kloten Flyers;Stürmer;10;1;23;4.35;2.30
32;Ouellet Michel;Fribourg-Gottéron;-;5;1;22;4.55;4.40
33;Christen Björn;EV Zug;Stürmer;13;4;22;18.18;1.69
34;Bärtschi Patrik;ZSC Lions;Stürmer;7;3;22;13.64;3.14
35;Roche Travis;SC Bern;Verteidiger;15;2;21;9.52;1.40
36;Malik Marek;Genève-Servette HC;Verteidiger;20;2;21;9.52;1.05
37;Sprunger Julien;Fribourg-Gottéron;Stürmer;7;4;20;20;2.86
38;Ruefenacht Thomas;EV Zug;Stürmer;13;0;20;0;1.54
39;Mercier Jonathan;Genève-Servette HC;Verteidiger;20;1;20;5;1.00
40;Liniger Michael;Kloten Flyers;Stürmer;10;1;20;5;2.00
41;Conz Florian;Genève-Servette HC;Stürmer;20;4;20;20;1.00
42;Stancescu Victor;Kloten Flyers;Stürmer;10;4;19;21.05;1.90
43;Hollenstein Denis;Kloten Flyers;Stürmer;10;1;19;5.26;1.90
44;Hänni Andreas;SC Bern;Verteidiger;15;0;19;0;1.27
45;Froidevaux Etienne;SC Bern;Stürmer;15;3;19;15.79;1.27
46;Camichel Duri;EV Zug;Stürmer;13;1;19;5.26;1.46
47;Seger Mathias;ZSC Lions;Verteidiger;7;2;18;11.11;2.57
48;Santala Tommi;Kloten Flyers;Stürmer;10;4;18;22.22;1.80
49;Dubé Christian;SC Bern;Stürmer;13;2;18;11.11;1.38
50;Camichel Corsin;EV Zug;Stürmer;13;1;18;5.56;1.38
51;Bürgler Dario;HC Davos;Stürmer;6;3;18;16.67;3.00
52;Berger Pascal;SC Bern;Stürmer;15;4;18;22.22;1.20
53;Bykov Andrey;Fribourg-Gottéron;Stürmer;7;2;17;11.76;2.43
54;Scherwey Tristan;SC Bern;Stürmer;14;2;16;12.5;1.14
55;Neuenschwander Caryl;SC Bern;Stürmer;15;0;16;0;1.07
56;Jobin David;SC Bern;Verteidiger;11;1;16;6.25;1.45
57;Jeannin Sandy;Fribourg-Gottéron;Stürmer;7;2;16;12.5;2.29
