R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
117;Cadieux Jan;Genève-Servette HC;Stürmer;6;1;6;16.67;1.00
118;Birbaum Alain;Fribourg-Gottéron;Verteidiger;4;0;6;0;1.50
119;Ziegler Thomas;ZSC Lions;Stürmer;5;0;5;0;1.00
120;Winkler Benjamin;Kloten Flyers;Verteidiger;17;0;5;0;0.29
121;Reichert Marc;SC Bern;Stürmer;11;0;5;0;0.45
122;Neuenschwander Caryl;SC Bern;Stürmer;11;1;5;20;0.45
123;Jeannin Sandy;Fribourg-Gottéron;Stürmer;4;0;5;0;1.25
124;Haas Lukas;SCL Tigers;Stürmer;4;1;5;20;1.25
125;Genazzi Joël;SCL Tigers;Verteidiger;4;0;5;0;1.25
126;Berthon Eliot;Genève-Servette HC;Stürmer;6;0;5;0;0.83
127;Wichser Adrian;ZSC Lions;Stürmer;5;0;4;0;0.80
128;Untersander Ramon;HC Davos;Verteidiger;9;0;4;0;0.44
129;Schilt Sebastian;SCL Tigers;Verteidiger;4;0;4;0;1.00
130;Savary Paul;Genève-Servette HC;Stürmer;6;1;4;25;0.67
131;Ryser Sven;ZSC Lions;Stürmer;5;0;4;0;0.80
132;Park Richard;Genève-Servette HC;Stürmer;3;2;4;50;1.33
133;Müller Pascal;ZSC Lions;Verteidiger;5;0;4;0;0.80
134;Iggulden Mike;SCL Tigers;Stürmer;4;0;4;0;1.00
135;Cook Charlie;SCL Tigers;Verteidiger;1;0;4;0;4.00
136;Sidler Patrick;Kloten Flyers;Verteidiger;15;0;3;0;0.20
137;Savary Jean;Genève-Servette HC;Stürmer;4;0;3;0;0.75
138;Nicolet Steeven;Genève-Servette HC;Stürmer;6;0;3;0;0.50
139;Hoehener Martin;Genève-Servette HC;Verteidiger;6;0;3;0;0.50
140;Gerber Adrian;SCL Tigers;Stürmer;4;0;3;0;0.75
141;Geering Patrick;ZSC Lions;Verteidiger;5;0;3;0;0.60
142;Bühler Cyrill;ZSC Lions;Stürmer;5;0;3;0;0.60
143;Bucher Tobias;SCL Tigers;Stürmer;4;0;3;0;0.75
144;Blaser Yannick;EV Zug;Verteidiger;10;0;3;0;0.30
145;Bastl Mark;ZSC Lions;Stürmer;5;0;3;0;0.60
146;Ulmann Tim;ZSC Lions;Stürmer;5;0;2;0;0.40
147;Tallarini Alan;HC Davos;Verteidiger;5;0;2;0;0.40
