R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
142;Hoffmann Luka;Kloten Flyers;Stürmer;13;0;0;0;0.00;0;-1
143;Iglesias Frédéric;Genève-Servette HC;Verteidiger;12;0;0;0;0.00;0;3
144;Jacquemet Arnaud;Genève-Servette HC;Stürmer;12;0;0;0;0.00;2;-2
145;Kast Timothy;Genève-Servette HC;Stürmer;1;0;0;0;0.00;0;0
146;Kienzle Lorenz;HC Lugano;Verteidiger;5;0;0;0;0.00;0;-2
147;Kobach Reto;HC Ambri-Piotta;Verteidiger;4;0;0;0;0.00;4;-1
148;Kostner Diego;HC Lugano;Stürmer;5;0;0;0;0.00;0;-1
149;Kparghai Clarence;HC Lugano;Verteidiger;5;0;0;0;0.00;6;-3
150;Künzle Mike;ZSC Lions;Stürmer;7;0;0;0;0.00;0;-1
151;Kutlak Zdenek;HC Davos;Verteidiger;4;0;0;0;0.00;0;0
152;Lardi Federico;Lausanne HC;Verteidiger;7;0;0;0;0.00;6;1
153;Lauper Adrien;Fribourg-Gottéron;Stürmer;6;0;0;0;0.00;0;-1
154;Lemm Aurelio;Kloten Flyers;Stürmer;12;0;0;0;0.00;0;-1
155;Leone Robin;Kloten Flyers;Stürmer;7;0;0;0;0.00;2;-1
156;Lhotak Lukas;HC Ambri-Piotta;Stürmer;2;0;0;0;0.00;0;0
157;Maurer Marco;HC Lugano;Verteidiger;5;0;0;0;0.00;33;-2
158;McLean Brett;HC Lugano;Stürmer;5;0;0;0;0.00;10;-3
159;Murray Brady;HC Lugano;Stürmer;5;0;0;0;0.00;0;-3
160;Neuenschwander Caryl;Lausanne HC;Stürmer;7;0;0;0;0.00;4;-1
161;Nordlund Markus;HC Ambri-Piotta;Verteidiger;2;0;0;0;0.00;0;-1
162;Noreau Maxim;HC Ambri-Piotta;Verteidiger;4;0;0;0;0.00;2;-1
163;Pedretti Marco;HC Ambri-Piotta;Stürmer;4;0;0;0;0.00;0;0
164;Primeau Josh;Lausanne HC;Stürmer;2;0;0;0;0.00;0;0
165;Ranov Anton;HC Davos;Stürmer;2;0;0;0;0.00;0;-1
166;Reist Alain;Lausanne HC;Verteidiger;3;0;0;0;0.00;0;0
167;Reuille Sebastien;HC Lugano;Stürmer;5;0;0;0;0.00;0;-1
168;Rizzi Sandro;HC Davos;Verteidiger;6;0;0;0;0.00;0;-1
169;Ryser Sven;HC Davos;Stürmer;6;0;0;0;0.00;0;0
170;Savary Paul;Lausanne HC;Stürmer;7;0;0;0;0.00;2;-1
171;Schlagenhauf Roman;HC Ambri-Piotta;Stürmer;4;0;0;0;0.00;0;-1
172;Schneeberger Noah;HC Davos;Verteidiger;6;0;0;0;0.00;6;1
173;Sciaroni Gregory;HC Davos;Stürmer;6;0;0;0;0.00;8;-2
174;Seydoux Philippe;Lausanne HC;Verteidiger;7;0;0;0;0.00;2;-2
175;Sidler Patrick;HC Ambri-Piotta;Verteidiger;4;0;0;0;0.00;4;1
176;Sieber Lukas;HC Davos;Stürmer;3;0;0;0;0.00;4;0
177;Stafford Garrett;Genève-Servette HC;Verteidiger;1;0;0;0;0.00;0;0
178;Stalder Ralph;Lausanne HC;Verteidiger;7;0;0;0;0.00;0;-2
179;Taticek Petr;HC Davos;Stürmer;2;0;0;0;0.00;25;1
180;Trunz Adrian;HC Ambri-Piotta;Verteidiger;4;0;0;0;0.00;4;-1
181;Von Arx Jan;HC Davos;Verteidiger;6;0;0;0;0.00;0;1
182;Walker Julian;HC Lugano;Stürmer;4;0;0;0;0.00;20;-1
183;Walser Samuel;HC Davos;Stürmer;6;0;0;0;0.00;4;0
184;Walsky Eric;HC Lugano;Stürmer;5;0;0;0;0.00;2;-2
