R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;HC Ajoie;50;298;2;16;4;0;846
2;Hockey Thurgau;50;283;3;17;3;0;811
3;HC Sierre;50;293;4;9;3;1;776
4;Lausanne HC;50;277;2;17;2;0;774
5;EHC Visp;50;266;0;19;0;0;722
6;GCK Lions;50;254;4;11;3;1;718
;Durchschnitt;50;261;2;11;2;0;697
7;HC La Chaux-de-Fonds;50;259;4;9;2;1;688
8;EHC Basel Sharks;50;256;2;10;1;1;662
9;EHC Olten;50;254;1;8;2;0;633
10;HC Red Ice;50;224;3;7;2;1;593
11;SC Langenthal;50;213;0;2;0;0;446
