R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;SC Langenthal;48;258;2;4;1;1;606
2;SCL Tigers;48;261;2;1;1;1;582
3;EHC Visp;48;254;2;2;1;1;578
4;EHC Olten;48;239;3;1;2;1;563
5;HC Ajoie;48;247;0;6;0;0;554
6;HC Red Ice;48;239;0;5;1;0;548
7;Hockey Thurgau;48;243;0;5;0;0;536
;Durchschnitt;48;236;1;2;0;0;532
8;HC La Chaux-de-Fonds;48;212;1;2;0;1;469
9;GCK Lions;48;179;0;0;0;0;358
