R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;HC Sierre;45;253;5;16;5;1;811
2;HC Ajoie;45;269;2;17;3;1;798
3;Hockey Thurgau;45;243;5;16;5;1;791
4;EHC Visp;45;247;3;7;3;1;659
5;Lausanne HC;45;242;3;10;1;2;659
;Durchschnitt;45;233;2;10;2;0;645
6;GCK Lions;45;234;2;10;1;1;618
7;HC La Chaux-de-Fonds;45;218;3;7;3;0;581
8;EHC Olten;45;214;1;9;1;0;543
9;EHC Basel Sharks;45;226;1;4;0;1;517
10;SC Langenthal;45;192;2;4;2;0;474
