R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;HC Ajoie;45;307;5;21;5;1;969
2;HC Sierre;45;296;5;13;6;0;867
3;Hockey Thurgau;45;264;2;15;4;0;768
4;GCK Lions;45;255;3;11;2;2;715
5;EHC Visp;45;251;5;7;5;0;697
;Durchschnitt;45;255;2;9;2;0;696
6;Lausanne HC;45;233;3;8;2;1;621
7;SC Langenthal;45;227;3;5;3;1;599
8;EHC Basel Sharks;45;241;3;2;2;2;597
9;EHC Olten;45;242;0;9;0;0;574
10;HC La Chaux-de-Fonds;45;242;0;7;0;0;554
