R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;SCL Tigers;45;206;3;18;6;0;727
2;EHC Olten;45;253;4;9;4;1;716
3;EHC Basel Sharks;45;236;3;12;2;1;667
4;HC Ajoie;45;224;3;13;1;2;653
5;Hockey Thurgau;45;210;1;16;1;0;605
;Durchschnitt;45;210;2;10;2;0;584
6;EHC Visp;45;225;0;7;1;0;540
7;HC La Chaux-de-Fonds;45;216;1;8;1;0;537
8;HC Red Ice;45;204;2;6;2;0;518
9;SC Langenthal;45;190;2;3;3;0;480
10;GCK Lions;45;140;1;8;2;0;405
