R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;SC Rapperswil-Jona Lakers;45;196;8;4;7;1;632
2;Hockey Thurgau;45;219;6;2;7;0;628
3;EHC Visp;45;226;3;7;3;0;597
4;SC Langenthal;45;243;1;2;3;0;571
5;EHC Olten;45;210;4;4;4;0;560
6;HC La Chaux-de-Fonds;45;199;5;2;4;1;543
;Durchschnitt;45;205;3;2;3;0;531
7;HC Red Ice;45;198;3;3;3;0;501
8;EHC Winterthur;45;206;3;1;3;0;497
9;HC Ajoie;45;188;0;3;1;0;426
10;GCK Lions;45;172;0;0;1;0;364
