R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;HC Ajoie;45;321;3;11;3;1;847
2;Lausanne HC;45;316;3;12;3;0;827
3;HC Sierre;45;290;3;11;3;0;765
4;Hockey Thurgau;45;258;2;12;4;1;746
5;EHC Visp;45;272;3;7;3;1;709
6;GCK Lions;45;290;1;10;1;0;705
;Durchschnitt;40;255;1;9;1;0;649
7;EHC Basel Sharks;45;261;0;12;0;0;642
8;HC La Chaux-de-Fonds;45;249;1;7;1;0;593
9;SC Langenthal;45;224;0;10;1;0;568
10;EHC Olten;45;234;0;5;0;0;518
11;Neuchâtel;0;98;0;3;0;0;226
