R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Dumont Jean-Pierre;SC Bern;Stürmer;14;6;8;14;1.00;4;6
2;Ambühl Andres;ZSC Lions;Stürmer;15;5;9;14;0.93;6;9
3;Brunner Damien;EV Zug;Stürmer;9;3;11;14;1.56;6;3
4;Ritchie Byron;SC Bern;Stürmer;17;2;12;14;0.82;18;8
5;Monnet Thibaut;ZSC Lions;Stürmer;15;5;8;13;0.87;0;8
6;Tambellini Jeff;ZSC Lions;Stürmer;15;4;8;12;0.80;4;3
7;Bärtschi Patrik;ZSC Lions;Stürmer;15;9;2;11;0.73;4;3
8;Rüthemann Ivo;SC Bern;Stürmer;17;7;4;11;0.65;2;4
9;Holden Josh;EV Zug;Stürmer;9;5;6;11;1.22;4;3
10;Metropolit Glen;EV Zug;Stürmer;9;5;6;11;1.22;2;2
11;Plüss Martin;SC Bern;Stürmer;17;6;4;10;0.59;6;-3
12;Pittis Domenico;ZSC Lions;Stürmer;13;5;5;10;0.77;27;0
13;Berger Pascal;SC Bern;Stürmer;17;4;6;10;0.59;6;6
14;Gardner Ryan;SC Bern;Stürmer;17;4;6;10;0.59;2;6
15;Furrer Philippe;SC Bern;Verteidiger;17;1;8;9;0.53;4;-3
16;Froidevaux Etienne;SC Bern;Stürmer;17;3;5;8;0.47;18;1
17;Cunti Luca;ZSC Lions;Stürmer;15;1;7;8;0.53;6;4
18;Bastl Mark;ZSC Lions;Stürmer;15;4;3;7;0.47;4;7
19;Jeannin Sandy;Fribourg-Gottéron;Stürmer;7;1;6;7;1.00;10;1
20;Gamache Simon;Fribourg-Gottéron;Stürmer;11;4;2;6;0.55;8;2
21;Dubé Christian;Fribourg-Gottéron;Stürmer;11;3;3;6;0.55;4;1
22;Rosa Pavel;Fribourg-Gottéron;Stürmer;8;3;3;6;0.75;6;-2
23;Sprunger Julien;Fribourg-Gottéron;Stürmer;11;2;4;6;0.55;6;-7
24;Deruns Thomas;SC Bern;Stürmer;13;2;4;6;0.46;4;3
25;Seger Mathias;ZSC Lions;Verteidiger;14;2;4;6;0.43;4;8
26;Loeffel Romain;Fribourg-Gottéron;Verteidiger;11;1;5;6;0.55;4;2
27;McCarthy Steve;ZSC Lions;Verteidiger;15;1;5;6;0.40;6;7
28;Schäppi Reto;ZSC Lions;Stürmer;15;4;1;5;0.33;6;6
29;Bykov Andrey;Fribourg-Gottéron;Stürmer;11;3;2;5;0.45;4;-7
30;Murray Brady;HC Lugano;Stürmer;6;3;2;5;0.83;6;0
31;Stancescu Victor;Kloten Flyers;Stürmer;5;3;2;5;1.00;12;2
32;Beaudoin Eric;EHC Biel;Stürmer;5;3;2;5;1.00;2;-3
33;Hasani Adam;Fribourg-Gottéron;Stürmer;11;2;3;5;0.45;6;6
34;Jobin David;SC Bern;Verteidiger;16;2;3;5;0.31;2;0
35;Vermin Joël;SC Bern;Stürmer;17;2;3;5;0.29;2;1
36;Christen Björn;EV Zug;Stürmer;9;2;3;5;0.56;10;-2
37;Wozniewski Andy;EV Zug;Verteidiger;6;1;4;5;0.83;16;3
38;Spylo Ahren;EHC Biel;Stürmer;5;4;0;4;0.80;18;-6
39;Reuille Sebastien;HC Lugano;Stürmer;6;3;1;4;0.67;18;0
40;Plüss Benny;Fribourg-Gottéron;Stürmer;11;2;2;4;0.36;6;-7
41;Kwiatkowski Joel;SC Bern;Verteidiger;14;2;2;4;0.29;16;0
42;Ruefenacht Thomas;EV Zug;Stürmer;9;2;2;4;0.44;8;2
43;Knoepfli Michael;Fribourg-Gottéron;Stürmer;11;2;2;4;0.36;2;-1
44;Reichert Marc;SC Bern;Stürmer;17;2;2;4;0.24;18;2
45;Birbaum Alain;Fribourg-Gottéron;Verteidiger;11;1;3;4;0.36;6;-3
46;Down Blaine;ZSC Lions;Stürmer;8;1;3;4;0.50;2;-1
47;Mieville Alain;EHC Biel;Stürmer;5;1;3;4;0.80;2;-4
48;Gerber Beat;SC Bern;Verteidiger;17;1;3;4;0.24;10;5
49;Domenichelli Hnat;HC Lugano;Stürmer;6;0;4;4;0.67;0;0
50;Kenins Ronalds;ZSC Lions;Stürmer;15;0;4;4;0.27;6;2
51;Hänni Andreas;SC Bern;Verteidiger;17;0;4;4;0.24;4;7
52;Hollenstein Denis;Kloten Flyers;Stürmer;5;0;4;4;0.80;16;-1
53;Blindenbacher Severin;ZSC Lions;Verteidiger;15;0;4;4;0.27;16;8
54;Bühler Cyrill;ZSC Lions;Stürmer;15;2;1;3;0.20;2;4
55;Liniger Michael;Kloten Flyers;Stürmer;5;2;1;3;0.60;0;0
56;Sutter Fabian;EV Zug;Stürmer;9;2;1;3;0.33;0;0
57;Vauclair Tristan;Fribourg-Gottéron;Stürmer;11;2;1;3;0.27;6;-2
58;Jenni Marcel;Kloten Flyers;Stürmer;5;1;2;3;0.60;2;2
59;Lindemann Sven;EV Zug;Stürmer;9;1;2;3;0.33;6;-2
60;Scherwey Tristan;SC Bern;Stürmer;16;1;2;3;0.19;6;-1
61;Ulmer Stefan;HC Lugano;Verteidiger;6;1;2;3;0.50;6;1
62;Kamber Oliver;HC Lugano;Stürmer;6;1;2;3;0.50;0;0
