R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Ritchie Byron;SC Bern;Stürmer;20;7;15;22;1.10;20;3
2;Holden Josh;EV Zug;Stürmer;14;6;11;17;1.21;12;5
3;Bykov Andrey;Fribourg-Gottéron;Stürmer;17;4;13;17;1.00;4;11
4;Plüss Martin;SC Bern;Stürmer;20;10;6;16;0.80;10;7
5;Gardner Ryan;SC Bern;Stürmer;18;7;8;15;0.83;25;-5
6;Roche Travis;SC Bern;Verteidiger;19;3;12;15;0.79;14;4
7;Gamache Simon;Fribourg-Gottéron;Stürmer;18;10;4;14;0.78;4;-4
8;Suri Reto;EV Zug;Stürmer;14;9;5;14;1.00;20;3
9;Martschini Lino;EV Zug;Stürmer;14;4;10;14;1.00;0;3
10;Sprunger Julien;Fribourg-Gottéron;Stürmer;16;5;8;13;0.81;10;5
11;Plüss Benny;Fribourg-Gottéron;Stürmer;18;7;4;11;0.61;22;8
12;Wick Roman;ZSC Lions;Stürmer;12;5;5;10;0.83;8;1
13;Monnet Thibaut;ZSC Lions;Stürmer;12;4;5;9;0.75;2;5
14;Rüthemann Ivo;SC Bern;Stürmer;20;4;5;9;0.45;2;5
15;Casutt Corsin;EV Zug;Stürmer;14;3;6;9;0.64;4;7
16;Vermin Joël;SC Bern;Stürmer;19;3;6;9;0.47;8;3
17;Kinrade Geoff;SC Bern;Verteidiger;19;3;6;9;0.47;6;3
18;Seger Mathias;ZSC Lions;Verteidiger;12;0;9;9;0.75;18;5
19;Dubé Christian;Fribourg-Gottéron;Stürmer;16;0;9;9;0.56;2;-2
20;Sutter Fabian;EV Zug;Stürmer;12;6;2;8;0.67;6;2
21;Kenins Ronalds;ZSC Lions;Stürmer;12;4;4;8;0.67;10;2
22;Bednar Jaroslav;SC Bern;Stürmer;8;3;5;8;1.00;4;3
23;Jeannin Sandy;Fribourg-Gottéron;Stürmer;17;3;5;8;0.47;6;-2
24;McLean Brett;HC Lugano;Stürmer;7;1;7;8;1.14;6;-2
25;Birbaum Alain;Fribourg-Gottéron;Verteidiger;18;1;7;8;0.44;12;-5
26;Lehtonen Mikko;ZSC Lions;Stürmer;11;4;3;7;0.64;4;0
27;Pouliot Marc-Antoine;EHC Biel;Stürmer;7;3;4;7;1.00;18;-4
28;Shannon Ryan;ZSC Lions;Stürmer;12;2;5;7;0.58;2;0
29;Campbell Jeff;SC Bern;Stürmer;10;2;5;7;0.70;4;2
30;Schnyder Fabian;EV Zug;Stürmer;14;1;6;7;0.50;6;6
31;Christen Björn;EV Zug;Stürmer;10;5;1;6;0.60;8;-3
32;Hasani Adam;Fribourg-Gottéron;Stürmer;18;4;2;6;0.33;12;0
33;Bürgler Dario;HC Davos;Stürmer;7;3;3;6;0.86;0;-2
34;Beaudoin Eric;EHC Biel;Stürmer;7;3;3;6;0.86;2;-5
35;Domenichelli Hnat;HC Lugano;Stürmer;7;3;3;6;0.86;2;1
36;Omark Linus;EV Zug;Stürmer;12;2;4;6;0.50;12;-1
37;Picard Alexandre;Genève-Servette HC;Stürmer;6;2;4;6;1.00;2;4
38;Metropolit Glen;HC Lugano;Stürmer;7;2;4;6;0.86;2;-5
39;Campoli Chris;EHC Biel;Verteidiger;6;1;5;6;1.00;4;-4
40;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;18;1;5;6;0.33;18;3
41;Loeffel Romain;Fribourg-Gottéron;Verteidiger;18;1;5;6;0.33;4;1
42;Collenberg Franco;SC Bern;Verteidiger;20;0;6;6;0.30;27;3
43;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;17;0;6;6;0.35;4;4
44;Geering Patrick;ZSC Lions;Verteidiger;12;0;6;6;0.50;2;1
45;Botter Cédric;Fribourg-Gottéron;Stürmer;18;4;1;5;0.28;4;-5
46;Bastl Mark;ZSC Lions;Stürmer;12;3;2;5;0.42;6;3
47;Knoepfli Michael;Fribourg-Gottéron;Stürmer;18;3;2;5;0.28;12;1
48;Furrer Andreas;EV Zug;Verteidiger;14;2;3;5;0.36;8;5
49;Fritsche Dan;Genève-Servette HC;Stürmer;7;2;3;5;0.71;2;2
50;Cunti Luca;ZSC Lions;Stürmer;12;2;3;5;0.42;6;2
51;Furrer Philippe;SC Bern;Verteidiger;18;2;3;5;0.28;16;-9
52;Von Arx Reto;HC Davos;Stürmer;5;2;3;5;1.00;4;2
53;Wozniewski Andy;EV Zug;Verteidiger;10;1;4;5;0.50;4;3
54;Lammer Dominic;EV Zug;Stürmer;14;0;5;5;0.36;0;-4
55;Loichat Michaël;SC Bern;Stürmer;20;4;0;4;0.20;4;-3
56;Simek Juraj;Genève-Servette HC;Stürmer;7;4;0;4;0.57;4;2
57;Bärtschi Patrik;ZSC Lions;Stürmer;12;3;1;4;0.33;0;0
58;Berger Pascal;SC Bern;Stürmer;20;3;1;4;0.20;4;4
59;Romy Kevin;Genève-Servette HC;Stürmer;7;3;1;4;0.57;4;5
60;Chiesa Alessandro;EV Zug;Verteidiger;14;2;2;4;0.29;24;6
61;Mauldin Greg;Fribourg-Gottéron;Stürmer;18;2;2;4;0.22;4;-3
62;Schäppi Reto;ZSC Lions;Stürmer;12;2;2;4;0.33;4;-1
63;Lauper Adrien;Fribourg-Gottéron;Stürmer;15;1;3;4;0.27;29;-1
64;Forster Beat;HC Davos;Verteidiger;7;0;4;4;0.57;6;2
65;Trachsler Morris;ZSC Lions;Stürmer;12;0;4;4;0.33;10;4
