R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
139;Casutt Corsin;Kloten Flyers;Stürmer;4;0;0;0;0.00;0;-3
140;Chuard Romain;Genève-Servette HC;Verteidiger;4;0;0;0;0.00;0;0
141;Collenberg Franco;Kloten Flyers;Verteidiger;2;0;0;0;0.00;25;2
142;Cunti Luca;ZSC Lions;Stürmer;2;0;0;0;0.00;0;-2
143;Dal Pian Giacomo;HC Lugano;Stürmer;9;0;0;0;0.00;2;1
144;Diem Nolan;EV Zug;Stürmer;4;0;0;0;0.00;0;-3
145;Egli Chris;HC Davos;Stürmer;4;0;0;0;0.00;0;1
146;Gähler Jorden;Kloten Flyers;Verteidiger;1;0;0;0;0.00;0;0
147;Guerra Samuel;HC Davos;Verteidiger;9;0;0;0;0.00;4;4
148;Guggisberg Peter;Kloten Flyers;Stürmer;4;0;0;0;0.00;0;-6
149;Gustafsson Erik;Kloten Flyers;Verteidiger;4;0;0;0;0.00;2;-6
150;Hächler Cedric;ZSC Lions;Verteidiger;1;0;0;0;0.00;0;0
151;Harlacher Edson;Kloten Flyers;Verteidiger;3;0;0;0;0.00;2;-3
152;Hirschi Steve;HC Lugano;Verteidiger;15;0;0;0;0.00;6;-3
153;Jung Sven;HC Davos;Verteidiger;5;0;0;0;0.00;2;-1
154;Kämpf Marc;SC Bern;Stürmer;2;0;0;0;0.00;0;0
155;Keller Ryan;ZSC Lions;Stürmer;2;0;0;0;0.00;0;-1
156;Kindschi Simon;HC Davos;Verteidiger;4;0;0;0;0.00;2;-1
157;Kparghai Clarence;HC Lugano;Verteidiger;14;0;0;0;0.00;2;1
158;Kreis Samuel;SC Bern;Verteidiger;9;0;0;0;0.00;0;-1
159;Lammer Dominic;EV Zug;Stürmer;2;0;0;0;0.00;0;0
160;Malgin Denis;ZSC Lions;Stürmer;3;0;0;0;0.00;0;-1
161;Marchon Nathan;Fribourg-Gottéron;Stürmer;1;0;0;0;0.00;0;0
162;Maret Mathieu;Fribourg-Gottéron;Verteidiger;5;0;0;0;0.00;0;0
163;McGrath Evan;HC Davos;Stürmer;1;0;0;0;0.00;0;0
164;Morant Johan;EV Zug;Verteidiger;1;0;0;0;0.00;0;-1
165;Müller Marco;SC Bern;Stürmer;5;0;0;0;0.00;0;-1
