R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Wick Roman;ZSC Lions;Stürmer;18;6;9;15;0.83;22;1
2;Nilsson Robert;ZSC Lions;Stürmer;18;5;8;13;0.72;4;-1
3;Lindgren Perttu;HC Davos;Stürmer;15;5;7;12;0.80;4;5
4;D'Agostini Matt;Genève-Servette HC;Stürmer;12;7;3;10;0.83;8;3
5;Paulsson Marcus;HC Davos;Stürmer;15;6;4;10;0.67;2;3
6;Keller Ryan;ZSC Lions;Stürmer;18;5;5;10;0.56;10;-2
7;Pyatt Tom;Genève-Servette HC;Stürmer;11;2;8;10;0.91;0;3
8;Loeffel Romain;Genève-Servette HC;Verteidiger;12;2;8;10;0.83;2;-11
9;Axelsson Dick;HC Davos;Stürmer;13;6;3;9;0.69;8;4
10;Shannon Ryan;ZSC Lions;Stürmer;18;5;4;9;0.50;6;-1
11;Simion Dario;HC Davos;Stürmer;15;5;4;9;0.60;4;1
12;Bärtschi Patrik;ZSC Lions;Stürmer;18;4;5;9;0.50;6;9
13;Almond Cody;Genève-Servette HC;Stürmer;12;3;6;9;0.75;16;3
14;Trachsler Morris;ZSC Lions;Stürmer;18;3;6;9;0.50;4;4
15;Geering Patrick;ZSC Lions;Verteidiger;18;2;7;9;0.50;6;4
16;Arlbrandt Pär;EHC Biel;Stürmer;7;5;3;8;1.14;6;1
17;Holloway Bud;SC Bern;Stürmer;11;4;4;8;0.73;4;-1
18;Ambühl Andres;HC Davos;Stürmer;15;2;6;8;0.53;10;9
19;Schneeberger Noah;HC Davos;Verteidiger;15;1;7;8;0.53;0;6
20;Cunti Luca;ZSC Lions;Stürmer;17;3;4;7;0.41;2;6
21;Wieser Marc;HC Davos;Stürmer;12;3;4;7;0.58;8;4
22;Baltisberger Chris;ZSC Lions;Stürmer;17;3;4;7;0.41;16;1
23;Sciaroni Gregory;HC Davos;Stürmer;15;3;4;7;0.47;8;4
24;Malgin Denis;ZSC Lions;Stürmer;18;4;2;6;0.33;4;3
25;Walser Samuel;HC Davos;Stürmer;15;3;3;6;0.40;6;5
26;Du Bois Felicien;HC Davos;Verteidiger;15;2;4;6;0.40;4;8
27;Bergeron Marc-André;ZSC Lions;Verteidiger;13;0;6;6;0.46;10;-2
28;Künzle Mike;ZSC Lions;Stürmer;17;4;1;5;0.29;14;-1
29;Pyatt Taylor;Genève-Servette HC;Stürmer;8;4;1;5;0.62;4;0
30;Bouchard Pierre-Marc;EV Zug;Stürmer;6;3;2;5;0.83;0;-4
31;Hofmann Gregory;HC Davos;Stürmer;13;3;2;5;0.38;2;2
32;Herburger Raphael;EHC Biel;Stürmer;7;2;3;5;0.71;0;4
33;Bezina Goran;Genève-Servette HC;Verteidiger;12;2;3;5;0.42;12;-3
34;Blum Eric-Ray;SC Bern;Verteidiger;11;2;3;5;0.45;2;-2
35;Pettersson Fredrik;HC Lugano;Stürmer;6;2;3;5;0.83;2;0
36;Seger Mathias;ZSC Lions;Verteidiger;12;2;3;5;0.42;10;8
37;Blindenbacher Severin;ZSC Lions;Verteidiger;18;1;4;5;0.28;12;3
38;Klasen Linus;HC Lugano;Stürmer;6;1;4;5;0.83;0;0
39;Schäppi Reto;ZSC Lions;Stürmer;18;1;4;5;0.28;10;3
40;Gragnani Marc-André;SC Bern;Verteidiger;11;1;4;5;0.45;0;-5
41;Filppula Ilari;HC Lugano;Stürmer;5;1;4;5;1.00;0;1
42;Martschini Lino;EV Zug;Stürmer;6;1;4;5;0.83;0;-1
43;Olausson Niklas;EHC Biel;Stürmer;7;0;5;5;0.71;4;1
44;Forster Beat;HC Davos;Verteidiger;15;0;5;5;0.33;10;1
45;Holden Josh;EV Zug;Stürmer;4;3;1;4;1.00;2;0
46;Bastl Mark;ZSC Lions;Stürmer;12;2;2;4;0.33;2;0
47;Jörg Mauro;HC Davos;Stürmer;14;2;2;4;0.29;2;0
48;Reuille Sebastien;HC Lugano;Stürmer;6;2;2;4;0.67;0;0
49;Wick Jeremy;Genève-Servette HC;Stürmer;11;2;2;4;0.36;31;-4
50;Plüss Martin;SC Bern;Stürmer;11;2;2;4;0.36;14;1
51;Furrer Philippe;SC Bern;Verteidiger;11;1;3;4;0.36;6;2
52;Pesonen Harri;Lausanne HC;Stürmer;7;1;3;4;0.57;2;1
53;Picard Alexandre;Genève-Servette HC;Stürmer;8;1;3;4;0.50;12;0
54;Corvi Enzo;HC Davos;Stürmer;15;1;3;4;0.27;6;3
55;Guerra Samuel;HC Davos;Verteidiger;15;1;3;4;0.27;6;7
56;Haas Gaëtan;EHC Biel;Stürmer;7;1;3;4;0.57;4;-3
57;Paschoud Claude-C.;HC Davos;Verteidiger;15;1;3;4;0.27;4;6
58;Rubin Daniel;Genève-Servette HC;Stürmer;12;1;3;4;0.33;18;-4
59;Redenbach Tyler;HC Davos;Stürmer;11;0;4;4;0.36;0;1
60;Diem Nolan;EV Zug;Stürmer;6;3;0;3;0.50;6;1
61;McLean Brett;HC Lugano;Stürmer;6;3;0;3;0.50;2;-5
62;Joensuu Jesse;SC Bern;Stürmer;8;2;1;3;0.38;8;3
