R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Von Arx Reto;HC Davos;Stürmer;21;7;8;15;0.71;16;0
2;Wick Roman;Kloten Flyers;Stürmer;15;5;9;14;0.93;12;5
3;Liniger Michael;Kloten Flyers;Stürmer;15;6;7;13;0.87;8;6
4;Rintanen Kimmo;Kloten Flyers;Stürmer;15;6;7;13;0.87;2;-2
5;Guggisberg Peter;HC Davos;Stürmer;21;5;8;13;0.62;4;3
6;Jenni Marcel;Kloten Flyers;Stürmer;15;3;10;13;0.87;6;6
7;Riesen Michel;HC Davos;Stürmer;21;9;3;12;0.57;4;-1
8;Sykora Petr;HC Davos;Stürmer;18;8;3;11;0.61;6;4
9;Sprunger Julien;Fribourg-Gottéron;Stürmer;10;6;4;10;1.00;6;4
10;Jinman Lee;HC Davos;Stürmer;15;6;4;10;0.67;6;1
11;Marha Josef;HC Davos;Stürmer;20;2;8;10;0.50;2;2
12;Rizzi Sandro;HC Davos;Verteidiger;21;1;9;10;0.48;18;9
13;Von Gunten Patrick;Kloten Flyers;Verteidiger;15;5;4;9;0.60;6;3
14;Brown Curtis;Kloten Flyers;Stürmer;15;4;5;9;0.60;20;5
15;Santala Tommi;Kloten Flyers;Stürmer;15;4;5;9;0.60;18;-3
16;Taticek Petr;HC Davos;Stürmer;21;4;5;9;0.43;12;3
17;Nummelin Petteri;HC Lugano;Verteidiger;7;4;5;9;1.29;2;-2
18;Plüss Benny;Fribourg-Gottéron;Stürmer;11;3;6;9;0.82;2;6
19;Plüss Martin;SC Bern;Stürmer;6;4;4;8;1.33;0;2
20;Rüthemann Ivo;SC Bern;Stürmer;6;2;6;8;1.33;0;2
21;Thoresen Patrick;HC Lugano;Stürmer;7;1;7;8;1.14;2;-2
22;Ambühl Andres;HC Davos;Stürmer;21;4;3;7;0.33;48;-1
23;Camichel Corsin;EV Zug;Stürmer;10;4;3;7;0.70;12;2
24;McTavish Dale;EV Zug;Stürmer;10;3;4;7;0.70;6;0
25;Bykov Andrey;Fribourg-Gottéron;Stürmer;9;1;6;7;0.78;0;3
26;Hamr Radek;Kloten Flyers;Verteidiger;15;1;6;7;0.47;12;-1
27;Stancescu Victor;Kloten Flyers;Stürmer;11;4;2;6;0.55;6;4
28;Bürgler Dario;HC Davos;Stürmer;21;3;3;6;0.29;8;-5
29;Forster Beat;HC Davos;Verteidiger;21;1;5;6;0.29;44;-3
30;Brunner Damien;EV Zug;Stürmer;10;3;2;5;0.50;4;-2
31;Dubé Christian;SC Bern;Stürmer;6;3;2;5;0.83;2;-2
32;Du Bois Felicien;Kloten Flyers;Verteidiger;15;2;3;5;0.33;20;8
33;Lindemann Sven;Kloten Flyers;Stürmer;15;2;3;5;0.33;6;0
34;Dupont Micki;EV Zug;Verteidiger;10;2;3;5;0.50;4;-2
35;Jeannin Sandy;Fribourg-Gottéron;Stürmer;11;1;4;5;0.45;8;-4
36;Fischer Patrick;EV Zug;Stürmer;10;0;5;5;0.50;22;-2
37;Sannitz Raffaele;HC Lugano;Stürmer;7;4;0;4;0.57;10;-2
38;Casutt Corsin;EV Zug;Stürmer;10;3;1;4;0.40;6;-5
39;Gelinas Martin;SC Bern;Stürmer;6;2;2;4;0.67;6;-2
40;Law Kirby;Fribourg-Gottéron;Stürmer;7;2;2;4;0.57;0;-3
41;Mowers Mark;Fribourg-Gottéron;Stürmer;5;2;2;4;0.80;4;-1
42;Wieser Dino;HC Davos;Stürmer;20;2;2;4;0.20;16;1
43;Jacquemet Arnaud;Kloten Flyers;Stürmer;15;2;2;4;0.27;2;5
44;Grossmann Robin;HC Davos;Verteidiger;21;1;3;4;0.19;20;8
45;Holden Josh;EV Zug;Stürmer;10;1;3;4;0.40;20;0
46;Jobin David;SC Bern;Verteidiger;6;1;3;4;0.67;2;1
47;Kellenberger Steve;Kloten Flyers;Stürmer;15;1;3;4;0.27;6;1
48;Birbaum Alain;Fribourg-Gottéron;Verteidiger;11;0;4;4;0.36;16;4
49;Deruns Thomas;Genève-Servette HC;Stürmer;4;2;1;3;0.75;0;-1
50;Robitaille Randy;HC Lugano;Stürmer;7;2;1;3;0.43;22;0
51;Wirz Valentin;Fribourg-Gottéron;Stürmer;11;2;1;3;0.27;2;2
52;Vauclair Geoffrey;Fribourg-Gottéron;Stürmer;9;2;1;3;0.33;4;1
53;Harrison Jay;EV Zug;Verteidiger;7;1;2;3;0.43;33;-2
54;Murray Brady;HC Lugano;Stürmer;7;1;2;3;0.43;0;-3
55;Daigle Alexandre;HC Davos;Stürmer;10;1;2;3;0.30;2;1
56;Meunier Laurent;Fribourg-Gottéron;Stürmer;8;1;2;3;0.38;4;1
57;Salmelainen Tony;Genève-Servette HC;Stürmer;4;1;2;3;0.75;2;-2
58;Winkler Benjamin;Kloten Flyers;Verteidiger;14;1;2;3;0.21;12;6
59;Bezina Goran;Genève-Servette HC;Verteidiger;4;1;2;3;0.75;2;-3
60;Aubin Serge;Genève-Servette HC;Stürmer;4;0;3;3;0.75;4;-1
61;Roche Travis;SC Bern;Verteidiger;4;0;3;3;0.75;6;-2
62;Trachsler Morris;Genève-Servette HC;Stürmer;4;0;3;3;0.75;2;2
63;Furrer Andreas;HC Davos;Verteidiger;21;0;3;3;0.14;2;8
64;Conne Flavien;HC Lugano;Stürmer;7;2;0;2;0.29;4;-2
65;Fransson Johan;HC Lugano;Verteidiger;4;2;0;2;0.50;0;-6
66;Leblanc Robin;HC Davos;Stürmer;14;2;0;2;0.14;6;2
67;Diaz Raphael;EV Zug;Verteidiger;10;1;1;2;0.20;4;-5
68;Fedulov Igor;Genève-Servette HC;Stürmer;4;1;1;2;0.50;4;-1
69;Isbister Brad;EV Zug;Stürmer;3;1;1;2;0.67;12;0
70;Monnet Thibaut;ZSC Lions;Stürmer;4;1;1;2;0.50;6;0
71;Montandon Gil;Fribourg-Gottéron;Stürmer;11;1;1;2;0.18;8;3
72;Suchy Radoslav;ZSC Lions;Verteidiger;4;1;1;2;0.50;6;-2
73;Cadieux Jan;Genève-Servette HC;Stürmer;4;1;1;2;0.50;0;2
74;Lauper Adrien;Fribourg-Gottéron;Stürmer;11;1;1;2;0.18;4;3
75;Maurer Marco;EV Zug;Verteidiger;10;1;1;2;0.20;14;1
76;Vauclair Julien;HC Lugano;Verteidiger;7;1;1;2;0.29;6;2
77;Von Arx Jan;HC Davos;Verteidiger;20;1;1;2;0.10;10;5
78;Wieser Marc;HC Davos;Stürmer;16;1;1;2;0.12;10;1
79;Bodenmann Simon;Kloten Flyers;Stürmer;9;0;2;2;0.22;0;1
80;Cantoni Krister;HC Lugano;Verteidiger;7;0;2;2;0.29;0;0
81;Gianola Marc;HC Davos;Verteidiger;21;0;2;2;0.10;4;4
82;Carney Keith;SC Bern;Verteidiger;6;0;2;2;0.33;6;2
83;Näser Andy;HC Lugano;Stürmer;7;0;2;2;0.29;6;-2
84;Romy Kevin;HC Lugano;Stürmer;5;0;2;2;0.40;2;0
85;Schnyder Fabian;EV Zug;Stürmer;10;0;2;2;0.20;6;-1
86;Knoepfli Michael;Fribourg-Gottéron;Stürmer;11;0;2;2;0.18;0;-5
87;Ngoy Michael;Fribourg-Gottéron;Verteidiger;9;0;2;2;0.22;4;-2
88;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;11;1;0;1;0.09;2;0
89;Back Rene;EV Zug;Verteidiger;10;1;0;1;0.10;16;-4
90;Blatter Florian;HC Davos;Verteidiger;21;1;0;1;0.05;10;-4
91;Bodemann Yanick;EV Zug;Stürmer;10;1;0;1;0.10;0;-1
92;Chouinard Marc;Fribourg-Gottéron;Stürmer;3;1;0;1;0.33;0;0
93;Gardner Ryan;ZSC Lions;Stürmer;4;1;0;1;0.25;2;-2
94;Meier Daniel;SC Bern;Stürmer;6;1;0;1;0.17;22;1
95;Pittis Domenico;ZSC Lions;Stürmer;4;1;0;1;0.25;8;0
96;Rothen Frederic;Kloten Flyers;Stürmer;7;1;0;1;0.14;4;-2
97;Rytz Philippe;SC Bern;Verteidiger;6;1;0;1;0.17;6;2
98;Savary Paul;Genève-Servette HC;Stürmer;4;1;0;1;0.25;0;-1
