R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;EV Zug;50;280;8;11;7;1;870
2;SCL Tigers;50;236;5;18;6;0;797
3;HC Davos;50;254;4;7;3;2;698
4;Kloten Flyers;50;266;4;6;4;0;692
5;SC Rapperswil-Jona Lakers;50;213;5;10;5;1;671
;Durchschnitt;50;229;3;7;3;0;643
6;Genève-Servette HC;50;220;4;8;5;0;640
7;Fribourg-Gottéron;50;225;4;7;4;0;620
8;EHC Biel;50;216;6;2;5;1;602
9;HC Ambri-Piotta;50;210;2;8;2;1;570
10;SC Bern;50;220;3;5;2;1;565
11;ZSC Lions;50;203;1;9;1;0;521
12;HC Lugano;50;206;1;4;1;0;477
