R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;EV Zug;50;24;3;5;6;4;8;173;131;42;98
2;HC Davos;50;27;4;3;3;0;13;155;117;38;98
3;Fribourg-Gottéron;50;26;3;3;3;1;14;156;120;36;94
4;Kloten Flyers;50;27;1;1;2;4;15;158;117;41;91
5;SC Bern;50;23;1;5;3;3;15;153;130;23;87
6;HC Lugano;50;21;0;5;3;3;18;152;150;2;79
7;ZSC Lions;50;19;4;4;2;2;19;136;129;7;77
8;EHC Biel;50;19;1;3;1;2;24;114;128;-14;68
9;Genève-Servette HC;50;16;1;4;8;1;20;117;126;-9;67
10;SCL Tigers;50;13;3;2;2;1;29;124;166;-42;52
11;HC Ambri-Piotta;50;10;4;2;5;2;27;102;153;-51;49
12;SC Rapperswil-Jona Lakers;50;12;0;1;0;2;35;99;172;-73;40
