R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;SC Bern;50;29;2;3;4;1;11;154;117;37;102
2;Genève-Servette HC;50;28;2;4;2;3;11;166;113;53;101
3;EV Zug;50;29;1;3;1;2;14;165;125;40;98
4;HC Davos;50;27;3;3;2;1;14;181;124;57;96
5;Kloten Flyers;50;22;3;6;2;1;16;163;138;25;87
6;ZSC Lions;50;24;1;2;4;2;17;185;165;20;84
7;Fribourg-Gottéron;50;18;1;3;3;3;22;145;160;-15;68
8;HC Lugano;50;17;3;3;4;0;23;153;166;-13;67
9;EHC Biel;50;16;0;3;3;2;26;134;182;-48;59
10;SC Rapperswil-Jona Lakers;50;16;2;0;2;0;30;129;154;-25;54
11;SCL Tigers;50;14;0;2;4;1;29;141;192;-51;51
12;HC Ambri-Piotta;50;8;0;2;3;2;35;107;187;-80;33
