Series_ID,Winner,Year,Opponent 1,Homefield_advantage,Opponent 0,GF,PK SI,PK SI/GP,PK GA,PK GA/GP,PK%,PKT,PK time/GP,SHG,PK GF/GP,GF/GP,GA,GA/GP,GF even,GF even/GP,GA even,GA even/GP,PPG,PPG/GP,PP GA,PP GA/GP,SOWGF,SOWGA,2' ,5',10',GM,MP,PIM Total,PP OP,PP OP/GP,PP%,PPT,PP time/GP,Number of year
0910_Genève-Servette HC SC Bern,1,0910,SC Bern,1,Genève-Servette HC,12.0,50.0,1.0,5.0,0.09999999999999998,0.7999999999999972,3686.0,74.0,7.0,0.14,0.23999999999999977,-4.0,-0.08000000000000007,-2.0,-0.03999999999999959,-8.0,-0.15999999999999992,6.0,0.12,1.0,0.020000000000000004,1.0,-2.0,59.0,3.0,5.0,3.0,1.0,263.0,52.0,1.04,-1.1700000000000017,3630.0,73.0,0.0
0910_HC Davos Kloten Flyers,1,0910,Kloten Flyers,1,HC Davos,18.0,19.0,0.3799999999999999,-5.0,-0.09999999999999998,3.339999999999989,3177.0,63.0,3.0,0.06,0.3600000000000003,-14.0,-0.2799999999999998,21.0,0.41999999999999993,-8.0,-0.16000000000000014,-3.0,-0.06000000000000005,-1.0,-0.02,-3.0,0.0,26.0,0.0,9.0,2.0,0.0,182.0,-6.0,-0.1200000000000001,-0.7899999999999991,-963.0,-20.0,0.0
0910_HC Lugano SC Bern,1,0910,SC Bern,1,HC Lugano,-1.0,3.0,0.05999999999999961,22.0,0.43999999999999995,-10.629999999999995,95.0,2.0,-1.0,-0.020000000000000004,-0.020000000000000018,49.0,0.98,-10.0,-0.19999999999999973,23.0,0.4600000000000002,10.0,0.19999999999999996,4.0,0.08000000000000002,0.0,0.0,-9.0,3.0,6.0,5.0,1.0,177.0,14.0,0.28000000000000025,3.5799999999999983,835.0,17.0,0.0
0910_Kloten Flyers SC Bern,1,0910,SC Bern,1,Kloten Flyers,9.0,37.0,0.7400000000000002,16.0,0.31999999999999995,-4.569999999999993,1916.0,39.0,3.0,0.06000000000000001,0.17999999999999972,21.0,0.41999999999999993,-9.0,-0.17999999999999972,8.0,0.16000000000000014,12.0,0.24,-1.0,-0.019999999999999997,3.0,-2.0,27.0,2.0,-3.0,1.0,1.0,74.0,38.0,0.7599999999999998,2.3199999999999967,2422.0,49.0,0.0
1011_EV Zug Genève-Servette HC,0,1011,Genève-Servette HC,1,EV Zug,47.0,16.0,0.3200000000000003,4.0,0.07999999999999996,-0.6499999999999915,2917.0,59.0,-3.0,-0.060000000000000005,0.94,15.0,0.2999999999999998,42.0,0.8400000000000001,17.0,0.3400000000000001,6.0,0.12,-3.0,-0.060000000000000005,2.0,-3.0,41.0,3.0,11.0,2.0,0.0,247.0,-16.0,-0.3200000000000003,4.109999999999999,-1538.0,-30.0,0.0
1011_EV Zug HC Davos,1,1011,HC Davos,0,EV Zug,-3.0,-23.0,-0.45999999999999996,9.0,0.17999999999999994,-5.179999999999993,-2637.0,-52.0,-11.0,-0.22,-0.06000000000000005,40.0,0.7999999999999998,7.0,0.14000000000000012,35.0,0.7,1.0,0.020000000000000018,-5.0,-0.1,0.0,1.0,-9.0,-1.0,12.0,4.0,-2.0,137.0,-3.0,-0.05999999999999961,0.7600000000000016,-642.0,-13.0,0.0
1011_Fribourg-Gottéron HC Davos,1,1011,HC Davos,1,Fribourg-Gottéron,-22.0,-39.0,-0.7800000000000002,13.0,0.2599999999999999,-8.36999999999999,-4048.0,-81.0,-10.0,-0.2,-0.43999999999999995,51.0,1.02,-25.0,-0.5,39.0,0.78,10.0,0.20000000000000007,-3.0,-0.06000000000000001,3.0,2.0,-48.0,-1.0,-2.0,2.0,-1.0,-101.0,5.0,0.10000000000000053,4.390000000000001,-370.0,-8.0,0.0
1011_HC Davos Kloten Flyers,0,1011,Kloten Flyers,1,HC Davos,9.0,37.0,0.7400000000000002,-2.0,-0.039999999999999925,2.950000000000003,4689.0,94.0,1.0,0.020000000000000018,0.18000000000000016,-8.0,-0.16000000000000014,18.0,0.3599999999999999,-6.0,-0.11999999999999988,-9.0,-0.18000000000000005,2.0,0.04000000000000001,-1.0,-2.0,5.0,4.0,-5.0,1.0,2.0,40.0,-40.0,-0.8000000000000007,-0.870000000000001,-3768.0,-75.0,0.0
1011_Kloten Flyers SC Bern,0,1011,SC Bern,0,Kloten Flyers,10.0,26.0,0.52,4.0,0.07999999999999996,-0.1600000000000108,1587.0,31.0,7.0,0.13999999999999999,0.19999999999999973,-6.0,-0.11999999999999966,-9.0,-0.17999999999999972,-13.0,-0.26,14.0,0.28,3.0,0.060000000000000005,-2.0,0.0,71.0,0.0,8.0,1.0,0.0,242.0,65.0,1.3000000000000003,1.259999999999998,6549.0,131.0,0.0
1011_Kloten Flyers ZSC Lions,0,1011,ZSC Lions,0,Kloten Flyers,38.0,-8.0,-0.16000000000000014,-7.0,-0.14,2.6799999999999926,-1234.0,-25.0,11.0,0.22,0.7599999999999998,-45.0,-0.8999999999999999,19.0,0.3800000000000001,-37.0,-0.7400000000000002,8.0,0.16000000000000003,1.0,0.020000000000000004,0.0,-2.0,20.0,-3.0,3.0,-2.0,0.0,15.0,31.0,0.6200000000000001,1.129999999999999,2955.0,59.0,0.0
1011_SC Bern SCL Tigers,0,1011,SCL Tigers,0,SC Bern,11.0,5.0,0.10000000000000009,-7.0,-0.14,4.310000000000002,1260.0,25.0,1.0,0.020000000000000004,0.2200000000000002,-37.0,-0.7400000000000002,14.0,0.2799999999999998,-22.0,-0.44000000000000017,-7.0,-0.14,-6.0,-0.12,3.0,-2.0,-3.0,-2.0,-1.0,-2.0,-1.0,-86.0,-43.0,-0.8599999999999999,0.11000000000000298,-4229.0,-84.0,0.0
1112_EHC Biel EV Zug,1,1112,EV Zug,1,EHC Biel,-59.0,-21.0,-0.41999999999999993,8.0,0.15999999999999992,-5.280000000000001,-2495.0,-50.0,-4.0,-0.08,-1.1800000000000002,-3.0,-0.06000000000000005,-42.0,-0.8399999999999999,-3.0,-0.06000000000000005,-11.0,-0.21999999999999997,-3.0,-0.06000000000000001,-2.0,-5.0,-64.0,-2.0,-9.0,-2.0,0.0,-268.0,0.0,0.0,-5.5600000000000005,-3196.0,-64.0,0.0
1112_EV Zug ZSC Lions,1,1112,ZSC Lions,0,EV Zug,37.0,36.0,0.7199999999999998,-8.0,-0.15999999999999992,6.700000000000003,3616.0,72.0,-2.0,-0.04000000000000001,0.7399999999999998,2.0,0.040000000000000036,16.0,0.31999999999999984,2.0,0.040000000000000036,22.0,0.43999999999999995,4.0,0.08000000000000002,1.0,4.0,77.0,7.0,2.0,6.0,1.0,349.0,2.0,0.040000000000000036,11.020000000000001,2666.0,53.0,0.0
