Series_ID,Opponent 1,Opponent 0,Year,Winner,Homefield_advantage,GF,PK SI,PK SI/GP,PK GA,PK GA/GP,PK%,PKT,PK time/GP,SHG,PK GF/GP,GF/GP,GA,GA/GP,GF even,GF even/GP,GA even,GA even/GP,PPG,PPG/GP,PP GA,PP GA/GP,SOWGF,SOWGA,2' ,5',10',GM,MP,PIM Total,PP OP,PP OP/GP,PP%,PPT,PP time/GP,Number of year
0809_EV Zug Kloten Flyers,Kloten Flyers,EV Zug,0809,1,0,-3.0,18.0,0.3600000000000003,4.0,0.08000000000000007,-0.4200000000000017,1706.0,34.0,-3.0,-0.06,-0.06000000000000005,36.0,0.7199999999999998,4.0,0.07999999999999963,27.0,0.5400000000000003,-4.0,-0.08000000000000007,5.0,0.1,0.0,0.0,16.0,3.0,-11.0,3.0,0.0,-3.0,-20.0,-0.40000000000000036,-0.20000000000000284,-4586.0,-92.0,0.0
0809_EV Zug SC Bern,SC Bern,EV Zug,0809,0,0,-16.0,27.0,0.54,-5.0,-0.09999999999999998,3.549999999999997,866.0,17.0,-4.0,-0.07999999999999999,-0.3200000000000003,30.0,0.5999999999999996,-6.0,-0.1200000000000001,30.0,0.6000000000000003,-6.0,-0.1200000000000001,5.0,0.1,0.0,0.0,29.0,-2.0,-2.0,0.0,-1.0,8.0,39.0,0.7800000000000002,-5.010000000000002,4220.0,84.0,0.0
0809_Fribourg-Gottéron HC Davos,HC Davos,Fribourg-Gottéron,0809,1,1,-30.0,-25.0,-0.5,11.0,0.22000000000000008,-5.349999999999994,-4072.0,-81.0,1.0,0.01999999999999999,-0.6000000000000001,8.0,0.1599999999999997,-25.0,-0.5,-5.0,-0.10000000000000009,-6.0,-0.1200000000000001,2.0,0.04000000000000001,0.0,0.0,-10.0,0.0,4.0,-1.0,1.0,20.0,24.0,0.4800000000000004,-3.7399999999999984,3443.0,69.0,0.0
0809_Fribourg-Gottéron ZSC Lions,ZSC Lions,Fribourg-Gottéron,0809,0,1,-22.0,31.0,0.6200000000000001,17.0,0.3400000000000001,-4.489999999999995,3211.0,65.0,-1.0,-0.01999999999999999,-0.43999999999999995,-6.0,-0.1200000000000001,-9.0,-0.18000000000000016,-22.0,-0.44000000000000017,-12.0,-0.24,-1.0,-0.01999999999999999,0.0,0.0,37.0,0.0,4.0,0.0,1.0,134.0,9.0,0.1800000000000006,-4.809999999999999,1737.0,35.0,0.0
0809_Genève-Servette HC Kloten Flyers,Kloten Flyers,Genève-Servette HC,0809,1,0,-17.0,26.0,0.5200000000000005,0.0,0.0,1.3599999999999994,2596.0,52.0,-6.0,-0.12,-0.33999999999999986,10.0,0.19999999999999973,0.0,0.0,6.0,0.1200000000000001,-11.0,-0.22000000000000008,4.0,0.08000000000000002,0.0,0.0,35.0,2.0,0.0,0.0,2.0,120.0,-12.0,-0.2400000000000002,-3.0100000000000016,-3004.0,-60.0,0.0
0809_HC Davos HC Lugano,HC Lugano,HC Davos,0809,0,0,9.0,14.0,0.28000000000000025,-5.0,-0.09999999999999998,2.469999999999999,2181.0,44.0,1.0,0.020000000000000018,0.18000000000000016,-21.0,-0.41999999999999993,23.0,0.45999999999999996,-11.0,-0.21999999999999997,-15.0,-0.30000000000000004,-5.0,-0.1,0.0,0.0,-6.0,-3.0,-3.0,-1.0,-1.0,-97.0,-5.0,-0.10000000000000053,-5.190000000000001,36.0,1.0,0.0
0809_HC Davos Kloten Flyers,Kloten Flyers,HC Davos,0809,0,1,10.0,27.0,0.54,1.0,0.020000000000000018,1.0699999999999932,3495.0,70.0,-4.0,-0.07999999999999999,0.20000000000000018,5.0,0.10000000000000009,14.0,0.2799999999999998,4.0,0.08000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-1.0,-8.0,-1.0,0.0,-65.0,-45.0,-0.9000000000000004,2.8999999999999986,-7321.0,-146.0,0.0
0910_EHC Basel Sharks EHC Visp,EHC Visp,EHC Basel Sharks,0910,1,0,-113.0,-10.0,-0.21999999999999975,10.0,0.21999999999999997,-5.280000000000001,-1846.0,-41.0,-14.0,-0.32,-2.5100000000000002,40.0,0.8900000000000001,-80.0,-1.7699999999999998,28.0,0.6200000000000001,-28.0,-0.6300000000000001,1.0,0.01999999999999999,-2.0,1.0,-11.0,-3.0,5.0,-3.0,-1.0,-67.0,-28.0,-0.6199999999999992,-10.319999999999997,-1952.0,-43.0,0.0
0910_EHC Olten Lausanne HC,Lausanne HC,EHC Olten,0910,1,0,21.0,-55.0,-1.2199999999999998,-3.0,-0.06000000000000005,-3.269999999999996,-5960.0,-132.0,-5.0,-0.11,0.4700000000000002,8.0,0.18000000000000016,21.0,0.46999999999999975,8.0,0.18000000000000016,-2.0,-0.04999999999999982,3.0,0.06,0.0,0.0,-82.0,-3.0,-7.0,-3.0,0.0,-309.0,15.0,0.33000000000000007,-2.1700000000000017,3220.0,72.0,0.0
0910_EHC Olten SC Langenthal,SC Langenthal,EHC Olten,0910,0,0,63.0,0.0,0.0,3.0,0.06999999999999995,-1.559999999999988,-328.0,-7.0,3.0,0.07,1.4000000000000004,-27.0,-0.6000000000000001,54.0,1.2,-28.0,-0.6199999999999999,12.0,0.27000000000000013,-4.0,-0.09,-2.0,2.0,10.0,0.0,-5.0,-1.0,0.0,-50.0,18.0,0.40000000000000036,3.6499999999999986,1595.0,35.0,0.0
0910_EHC Visp HC Sierre,HC Sierre,EHC Visp,0910,0,1,63.0,-9.0,-0.20000000000000018,3.0,0.06999999999999995,-1.9200000000000017,-1606.0,-36.0,6.0,0.13999999999999999,1.4000000000000004,8.0,0.17999999999999972,56.0,1.2399999999999998,5.0,0.10999999999999988,10.0,0.2300000000000002,3.0,0.07,0.0,-3.0,-18.0,0.0,-4.0,0.0,1.0,-56.0,-6.0,-0.14000000000000057,5.009999999999998,-1511.0,-34.0,0.0
0910_EHC Visp Lausanne HC,Lausanne HC,EHC Visp,0910,1,0,58.0,-14.0,-0.3099999999999996,1.0,0.029999999999999916,-1.4399999999999977,-1854.0,-41.0,6.0,0.13999999999999999,1.2900000000000005,19.0,0.41999999999999993,40.0,0.8899999999999997,15.0,0.3400000000000001,9.0,0.20000000000000018,4.0,0.09,2.0,-1.0,-44.0,0.0,-5.0,0.0,1.0,-118.0,-6.0,-0.14000000000000057,4.579999999999998,-338.0,-7.0,0.0
0910_EV Zug Genève-Servette HC,Genève-Servette HC,EV Zug,0910,1,1,-1.0,-21.0,-0.41999999999999993,1.0,0.020000000000000018,-1.6499999999999915,-893.0,-18.0,-5.0,-0.1,-0.020000000000000018,12.0,0.2400000000000002,-10.0,-0.20000000000000018,12.0,0.24,10.0,0.19999999999999996,0.0,0.0,-1.0,-1.0,-13.0,-2.0,-3.0,-2.0,-1.0,-126.0,-29.0,-0.5800000000000001,6.620000000000001,-2381.0,-48.0,0.0
0910_EV Zug ZSC Lions,ZSC Lions,EV Zug,0910,0,0,-20.0,12.0,0.2400000000000002,-8.0,-0.15999999999999992,4.5,3325.0,66.0,1.0,0.01999999999999999,-0.40000000000000036,-40.0,-0.7999999999999998,-32.0,-0.6400000000000001,-18.0,-0.3600000000000001,5.0,0.09999999999999998,-6.0,-0.12000000000000001,1.0,-3.0,28.0,3.0,3.0,3.0,0.0,161.0,-6.0,-0.1200000000000001,2.8000000000000007,-442.0,-9.0,0.0
0910_Fribourg-Gottéron Genève-Servette HC,Genève-Servette HC,Fribourg-Gottéron,0910,1,1,-21.0,-22.0,-0.4400000000000004,9.0,0.17999999999999994,-5.219999999999999,-1106.0,-22.0,-5.0,-0.1,-0.41999999999999993,47.0,0.9400000000000004,-10.0,-0.20000000000000018,33.0,0.6600000000000001,-5.0,-0.10000000000000009,4.0,0.08,-1.0,1.0,-46.0,-4.0,-4.0,-4.0,-1.0,-252.0,-31.0,-0.6200000000000001,-0.019999999999999574,-3148.0,-63.0,0.0
0910_Genève-Servette HC SC Bern,SC Bern,Genève-Servette HC,0910,1,1,12.0,50.0,1.0,5.0,0.09999999999999998,0.7999999999999972,3686.0,74.0,7.0,0.14,0.23999999999999977,-4.0,-0.08000000000000007,-2.0,-0.03999999999999959,-8.0,-0.15999999999999992,6.0,0.12,1.0,0.020000000000000004,1.0,-2.0,59.0,3.0,5.0,3.0,1.0,263.0,52.0,1.04,-1.1700000000000017,3630.0,73.0,0.0
0910_HC Ajoie Lausanne HC,Lausanne HC,HC Ajoie,0910,1,1,-9.0,16.0,0.3600000000000003,1.0,0.029999999999999916,0.6499999999999915,90.0,2.0,-4.0,-0.09,-0.19999999999999973,28.0,0.6200000000000001,-18.0,-0.3999999999999999,22.0,0.49,2.0,0.040000000000000036,6.0,0.13,1.0,-1.0,5.0,0.0,-1.0,0.0,1.0,20.0,26.0,0.5700000000000003,-1.4800000000000004,2250.0,50.0,0.0
0910_HC Davos Kloten Flyers,Kloten Flyers,HC Davos,0910,1,0,18.0,19.0,0.3799999999999999,-5.0,-0.09999999999999998,3.339999999999989,3177.0,63.0,3.0,0.06,0.3600000000000003,-14.0,-0.2799999999999998,21.0,0.41999999999999993,-8.0,-0.16000000000000014,-3.0,-0.06000000000000005,-1.0,-0.02,-3.0,0.0,26.0,0.0,9.0,2.0,0.0,182.0,-6.0,-0.1200000000000001,-0.7899999999999991,-963.0,-20.0,0.0
0910_HC La Chaux-de-Fonds HC Sierre,HC Sierre,HC La Chaux-de-Fonds,0910,1,1,16.0,-21.0,-0.47000000000000064,6.0,0.13,-4.260000000000005,-2783.0,-62.0,5.0,0.11000000000000001,0.3500000000000001,34.0,0.7599999999999998,8.0,0.18000000000000016,23.0,0.5099999999999998,7.0,0.16000000000000014,5.0,0.11000000000000001,-3.0,0.0,-41.0,-2.0,-4.0,-2.0,0.0,-172.0,28.0,0.6200000000000001,0.3299999999999983,1444.0,32.0,0.0
0910_HC Lugano SC Bern,SC Bern,HC Lugano,0910,1,0,-1.0,3.0,0.05999999999999961,22.0,0.43999999999999995,-10.629999999999995,95.0,2.0,-1.0,-0.020000000000000004,-0.020000000000000018,49.0,0.98,-10.0,-0.19999999999999973,23.0,0.4600000000000002,10.0,0.19999999999999996,4.0,0.08000000000000002,0.0,0.0,-9.0,3.0,6.0,5.0,1.0,177.0,14.0,0.28000000000000025,3.5799999999999983,835.0,17.0,0.0
