R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
157;Gloor Kevin;ZSC Lions;Verteidiger;4;0;0;0;0;0;0;0;0;0;0;0
158;Gerber Lukas;HC Davos;Verteidiger;20;0;0;0;0;0;0;0;0;0;0;0
159;Gerber Beat;SC Bern;Verteidiger;6;0;0;0;0;0;0;0;0;0;0;0
160;Genazzi Joël;Fribourg-Gottéron;Verteidiger;1;0;0;0;0;0;0;0;0;0;0;0
161;Geering Patrick;ZSC Lions;Verteidiger;4;0;0;0;0;0;0;0;0;0;0;0
162;Froidevaux Etienne;SC Bern;Stürmer;6;0;0;0;0;0;0;0;0;0;0;0
163;Fischer Jannik;EV Zug;Verteidiger;10;0;0;0;0;0;0;0;0;0;0;0
164;Della Rossa Patric;Kloten Flyers;Stürmer;2;0;0;0;0;0;0;0;0;0;0;0
165;Conz Florian;Genève-Servette HC;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
166;Conte Fabrizio;HC Lugano;Stürmer;7;0;0;0;0;0;0;0;0;0;0;0
167;Collenberg Franco;Fribourg-Gottéron;Verteidiger;11;0;0;0;0;0;0;0;0;0;0;0
168;Christen Björn;EV Zug;Stürmer;1;0;0;0;0;0;0;0;0;0;0;0
169;Chiesa Alessandro;HC Lugano;Verteidiger;7;0;0;0;0;0;0;0;0;0;0;0
170;Carbis Daniel;HC Davos;Stürmer;2;0;0;0;0;0;0;0;0;0;0;0
171;Camichel Duri;EV Zug;Stürmer;10;0;0;0;0;0;0;0;0;0;0;0
172;Bühler Cyrill;ZSC Lions;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
173;Bucher Tobias;EV Zug;Stürmer;9;0;0;0;0;0;0;0;0;0;0;0
174;Breitbach Robin;Genève-Servette HC;Verteidiger;4;0;0;0;0;0;0;0;0;0;0;0
175;Botter Cédric;Fribourg-Gottéron;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
176;Bonnet Julien;Kloten Flyers;Verteidiger;10;0;0;0;0;0;0;0;0;0;0;0
177;Blindenbacher Severin;ZSC Lions;Verteidiger;4;0;0;0;0;0;0;0;0;0;0;0
178;Blaser Yannick;EV Zug;Verteidiger;9;0;0;0;0;0;0;0;0;0;0;0
179;Bianchi Elias;EV Zug;Stürmer;3;0;0;0;0;0;0;0;0;0;0;0
180;Berger Pascal;SC Bern;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
181;Bastl Mark;ZSC Lions;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
182;Augsburger Gaëtan;Genève-Servette HC;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
183;Alston Jan;ZSC Lions;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
184;Abplanalp Sandro;Fribourg-Gottéron;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
185;Abid Ramzi;SC Bern;Stürmer;1;0;0;0;0;0;0;0;0;0;0;0
